branch_row,from_bus,to_bus,from_base_kv,status,rate_a_mva,pf_mw,qf_mvar,pt_mw,qt_mvar,s_from_mva,s_to_mva,s_max_mva,loading_pct,p_loss_mw,q_net_mvar,tap_ratio
1,1,4,230,1,410.72,29.9801747011369,-4.50606014904661,-29.9679759035039,4.9959124986304,30.3169169471026,30.3815523212189,30.3815523212189,7.39714460489358,0.0121987976330225,0.489852349583794,1
2,1,5,230,1,0,-29.9801747011334,-87.1417963503341,29.9978927481461,87.2266689594619,92.154780376677,92.240800880591,92.240800880591,NaN,0.0177180470127105,0.0848726091278564,1
3,1,6,230,1,0,0,0,0,0,0,0,0,NaN,0,0,1
4,2,4,115,1,247.76,-19.9920830032556,6.53259199835657,19.9914466600105,-6.55815657505111,21.0323118326554,21.0396615282406,21.0396615282406,8.49195250574776,-0.000636343245169257,-0.0255645766945394,1
5,170,2,115,1,186.85,-19.9664256517042,6.09549814660467,19.992083003256,-6.53259199835301,20.8761407103969,21.0323118326546,21.0323118326546,11.2562546602379,0.0256573515517893,-0.437093851748343,1
6,3,4,18,1,162.96,-9.96999999999998,-1.2999999999999,9.9765292434928,1.56224407641699,10.0543970480581,10.0981058768745,10.0981058768745,6.19667763676637,0.00652924349281392,0.262244076417091,1
7,234,5,230,1,531.98,-39.0414178309907,41.3288992949348,39.0937368100973,-43.4949307337361,56.8534099521292,58.4818711850917,58.4818711850917,10.9932462094612,0.0523189791065377,-2.16603143880128,1
8,5,874,230,1,600.42,-69.0916295582439,-43.7317382256997,69.1857963499409,37.8956097283461,81.7686871806973,78.8844195849764,81.7686871806973,13.6185815230501,0.0941667916969919,-5.83612849735367,1
9,8,7,115,1,233.11,-22.7065245338891,3.16911672148894,22.7120619672868,-2.93729086850399,22.926612423176,22.9012103708968,22.926612423176,9.83510463865813,0.00553743339770918,0.231825852984949,1
10,7,9,230,1,0,11.4803607848522,5.89169996909803,-11.4800000000413,-5.88999999998927,12.9039068609566,12.9028097715507,12.9039068609566,NaN,0.000360784810853332,0.00169996910876424,1
11,7,29,230,1,509.38,-15.0410824343308,-2.82433820837844,15.0445194499363,-0.48213981184127,15.3039552767133,15.0522431643152,15.3039552767133,3.00442798631931,0.00343701560546705,-3.30647802021971,1
12,7,477,230,1,401.34,1.14825692955773,-0.77858497923565,-1.14820906740386,-4.41647385823178,1.38733144784104,4.56329107146511,4.56329107146511,1.13701377173098,4.7862153865541e-05,-5.19505883746743,1
13,7,874,230,1,529.58,-20.2995972473176,0.64851408700678,20.305560415921,-2.73957058667592,20.309953690847,20.4895346653846,20.4895346653846,3.86901594950424,0.00596316860339741,-2.09105649966914,1
14,8,979,115,1,193.8,22.706524533893,-3.16911672148645,-22.69950431821,2.21126490273416,22.9266124231796,22.8069548331753,22.9266124231796,11.8300373700617,0.00702021568301703,-0.957851818752284,1
15,10,28,115,1,156.31,-5.38953864557238,0.136351500140325,5.39013219077792,-0.498583170024219,5.39126316772875,5.4131423601723,5.4131423601723,3.46308128729595,0.000593545205537893,-0.362231669883894,1
16,1173,10,115,1,151.44,4.58107934605239,0.885075089283588,-4.58046135442975,-1.05635150013986,4.66579531146601,4.70069193962678,4.70069193962678,3.10399626229977,0.000617991622644531,-0.171276410856268,1
17,11,28,115,1,131.63,-0.570580235064505,1.1907818721766,0.57062197936924,-1.47106728960821,1.32042541317208,1.57786197555253,1.57786197555253,1.19871000193917,4.17443047348032e-05,-0.280285417431616,1
18,11,982,115,1,163.88,-9.39941976493061,-5.49078187217567,9.40132037561046,5.23605225408083,10.8856684445734,10.7610904657629,10.8856684445734,6.64246304892202,0.0019006106798436,-0.254729618094833,1
19,12,34,115,1,155.86,3.55499630178956,0.0919569126507074,-3.55470486790968,-0.449241485129016,3.55618542535703,3.58297985061341,3.58297985061341,2.29884502156641,0.000291433879885172,-0.357284572478309,1
20,1072,12,115,1,164.73,6.61655557417442,0.0800108185140203,-6.61499630178883,-0.821956912652146,6.61703932262895,6.66586747835092,6.66586747835092,4.0465412968803,0.00155927238558995,-0.741946094138125,1
21,13,14,115,1,0,-2.50999999999091,-1.41000000002014,2.51001554361453,1.41007764304828,2.87892340988974,2.87897498922987,2.87897498922987,NaN,1.55436236228823e-05,7.76430281448359e-05,1
22,49,14,115,1,130.28,-1.51321684782675,1.46448093458806,1.51345455357463,-1.7838783705636,2.10583229064392,2.33939452138805,2.33939452138805,1.79566665749774,0.000237705747877515,-0.319397435975544,1
23,14,51,115,1,149.84,-4.02347009719594,0.373800727534241,4.02419623986608,-0.786588961623681,4.04079677872261,4.10035090833705,4.10035090833705,2.73648619082825,0.000726142670139041,-0.412788234089441,1
