bus,type,base_kv,pd_mw,qd_mvar,vm_original_pu,va_original_deg,vm_solved_pu,va_solved_deg,delta_vm_pu,delta_va_deg
1,1,230,0,0,1.0354501,-128.739453,1.03617701129064,-129.242247491226,0.000726911290643173,-0.0865637589805743
2,1,115,0,0,1.0373434,-129.590663,1.03802339565487,-130.092531576822,0.00067999565486665,-0.0856378445764534
3,1,18,9.97,1.3,1.0332069,-131.129748,1.03389156087882,-131.630076625439,0.000684660878816468,-0.0840978931943965
4,1,1,0,0,1.0377121,-129.657446,1.03838613067083,-130.159244764283,0.00067403067083438,-0.0855680320384664
5,1,230,0,0,1.0364155,-128.732674,1.03714421525218,-129.23550369367,0.000728715252184653,-0.0865989614244853
6,1,230,0,0,1.0354501,-128.739453,1.03617701129064,-129.242247491226,0.000726911290643173,-0.0865637589805743
7,1,230,0,0,1.0427743,-128.3745,1.04364572508575,-128.878710329888,0.000871425085752886,-0.0879795976428142
8,1,115,0,0,1.0439218,-128.95219,1.04480333827913,-129.455064698016,0.000881538279126071,-0.0866439657709321
9,1,230,11.48,5.89,1.0426856,-128.38049,1.0435569943873,-128.884694890299,0.00087139438730155,-0.0879741580534557
10,1,115,9.97,0.92,1.0414712,-128.895178,1.04250243983485,-129.398327162951,0.00103123983485109,-0.0869184307060351
11,1,115,9.97,4.3,1.0416767,-128.856123,1.04267622423544,-129.359354665904,0.000999524235439697,-0.0870009336589845
12,1,115,3.06,0.73,1.0432109,-129.021234,1.04424029754915,-129.524142154845,0.00102939754914755,-0.0866774225996068
13,1,115,2.51,1.41,1.0497864,-128.46013,1.05060423738309,-128.964196492074,0.000817837383090714,-0.0878357598285362
14,1,115,0,0,1.0498051,-128.458932,1.05062306020871,-128.963000800645,0.000817960208707724,-0.0878380684003304
15,1,115,3.04,1.32,1.0410763,-128.797636,1.04220324492601,-129.301098028284,0.00112694492601473,-0.087231296039235
16,1,115,2.51,0.45,1.0409043,-128.725768,1.04206705863709,-129.229458448527,0.00116275863708881,-0.0874597162818844
17,1,115,0,0,1.0404567,-128.390261,1.04175147032801,-128.894960615034,0.00129477032801195,-0.0884688827886606
18,1,115,5.61,0.47,1.0404397,-128.393291,1.04173455218752,-128.897984619739,0.00129485218751979,-0.0884628874936055
19,1,115,0,0,1.0438545,-128.921946,1.04485567352439,-129.42508195345,0.00100117352438667,-0.0869052212049866
20,1,115,15.83,0.97,1.0438051,-128.93101,1.04480631172846,-129.434131262314,0.00100121172846146,-0.0868905300690272
21,1,230,0,0,1.0404372,-128.336858,1.04143734490082,-128.841372678952,0.00100014490081923,-0.0882839467070511
22,1,115,19.56,4.22,1.0445549,-128.974948,1.04558378189552,-129.478028096983,0.00102888189551931,-0.0868493647382849
23,1,230,0,0,1.0407013,-128.330266,1.04170131697405,-128.834792950625,0.00100001697405272,-0.0882962183797105
24,1,230,0,0,1.0413608,-128.330534,1.04233263184788,-128.83507968961,0.000971831847878635,-0.0883149573648012
25,1,115,18.59,5.86,1.0418793,-128.891277,1.04294308557166,-129.394362397279,0.00106378557166487,-0.0868546650343802
26,1,230,0,0,1.0414952,-128.323037,1.04246566711675,-128.827584507617,0.00097046711674853,-0.0883167753717231
27,1,230,0,0,1.043029,-128.27874,1.04396696284202,-128.783205088304,0.000937962842021633,-0.0882343560588623
28,1,115,15.83,4.34,1.0415666,-128.851844,1.04257089469566,-129.355076077496,0.00100429469566432,-0.0870013452514371
29,1,230,0,0,1.043101,-128.266194,1.0440375355802,-128.770675137924,0.000936535580200903,-0.0882504056790339
30,1,115,2.44,1.3,1.0406342,-129.562639,1.0416155397989,-130.063911790852,0.000981339798901137,-0.0850420586072147
31,1,115,0,0,1.041453,-129.122648,1.04261755551861,-129.625717521416,0.00116455551861194,-0.0868387891706135
32,1,115,2.44,0.18,1.0414457,-129.123941,1.04261029290486,-129.627008305899,0.00116459290485715,-0.086836573653656
33,1,115,2.44,1.06,1.0430356,-129.045029,1.04410549291941,-129.54800318154,0.00106989291940618,-0.0867434492949286
34,1,115,0,0,1.0430535,-129.043715,1.04412340996518,-129.54669096141,0.0010699099651843,-0.0867452291650892
35,1,115,0,0,1.0409866,-129.239055,1.04211312355637,-129.741839149887,0.00112652355636689,-0.0865534176420084
36,1,115,4.99,0.91,1.0409665,-129.241847,1.04209303870302,-129.744627345598,0.00112653870301926,-0.0865496133528012
37,1,115,2.77,0.82,1.0403118,-129.082573,1.04159039361915,-129.585771578722,0.00127859361915283,-0.0869678464772647
38,1,115,3.83,0.97,1.0401961,-127.768352,1.04167552194353,-128.275091195093,0.00147942194352813,-0.0905084628482911
39,1,115,0,0,1.0402345,-127.992168,1.04163491131881,-128.497989189807,0.00140041131881263,-0.0895904575618545
40,1,115,4.89,0.95,1.0402142,-127.994972,1.04161464999285,-128.500787434891,0.00140044999284683,-0.0895847026462206
41,1,115,3.28,0.56,1.0461165,-129.008688,1.04697266892598,-129.511763083331,0.000856168925980727,-0.0868443510860999
42,1,115,2.58,0.19,1.0471942,-128.900442,1.04805218133817,-129.403814728333,0.000857981338174607,-0.0871419960880786
43,1,115,1.77,0.73,1.0490466,-128.666044,1.04990591003015,-129.170043515501,0.000859310030151494,-0.0877687832556404
44,1,115,6.16,1.57,1.0447927,-129.113737,1.04564718637251,-129.616430530661,0.00085448637251373,-0.0864627984159796
45,1,115,3.08,0.41,1.0426519,-129.521484,1.04339726207364,-130.022638029145,0.000745362073642175,-0.0849232968996745
46,1,115,3.73,1.41,1.0415078,-128.860187,1.04259047766541,-129.363490918529,0.00108267766540959,-0.0870731862843996
47,1,115,3.73,1.61,1.0419083,-128.836869,1.04362521841549,-129.342025015228,0.00171691841548816,-0.0889252829827996
48,1,230,0,0,1.0437304,-128.062196,1.04470855214191,-128.566823173391,0.000978152141908772,-0.0883964411456049
49,1,115,0,0,1.0499521,-128.476517,1.05081106924488,-128.980938464944,0.000858969244881047,-0.0881907326990898
50,1,230,3.31,0.94,1.0437136,-128.064013,1.04469172454861,-128.568637951918,0.000978124548609349,-0.088394219673134
51,1,115,4.65,1.41,1.0499428,-128.425917,1.05072456672998,-128.929680843456,0.000781766729980982,-0.0875331112113855
52,1,115,0,0,1.0717038,-123.459608,1.10479574105488,-124.236631093704,0.0330919410548789,-0.360792361458707
53,1,115,1.96,0.2,1.0716972,-123.460623,1.10478936719855,-124.237583714923,0.0330921671985462,-0.36072998267818
54,1,115,0,0,1.0721504,-123.576105,1.10594849719364,-124.351574138331,0.0337980971936369,-0.359238406086106
55,1,115,0.96,0.19,1.0721467,-123.576574,1.10594494101658,-124.352013872582,0.0337982410165822,-0.359209140336972
56,1,115,3.23,0.43,1.0530778,-124.224486,1.09791492233224,-125.035361474831,0.0448371223322399,-0.394644742586152
57,1,115,5.7,0.59,1.0530676,-124.60506,1.10290529911776,-125.414615129144,0.0498376991177574,-0.39332439689916
58,1,230,0,0,1.0503904,-124.380789,1.09859843335416,-125.199856659464,0.0482080333541581,-0.402836927218701
59,1,115,0,0,1.0484172,-124.602984,1.09657066497193,-125.403900384957,0.048153464971934,-0.38468565271161
60,1,230,5.7,3.63,1.0503406,-124.383352,1.09855075607478,-125.20220223475,0.0482101560747823,-0.402619502504621
61,1,115,6.74,1.17,1.0528514,-124.615679,1.10269222784314,-125.4241825276,0.0498408278431444,-0.392272795355382
62,1,115,0.92,0.54,1.046353,-122.077424,1.07137239570388,-122.863244630624,0.025019395703878,-0.369589898378479
63,1,115,1.29,0.29,1.0447223,-122.439211,1.06689619406637,-123.184239818938,0.0221738940663709,-0.328798086692743
64,1,115,0,0,0.992846,-124.459562,1.03868983632281,-125.221744721381,0.0458438363228125,-0.345951989136253
65,1,115,0.64,0.1,0.9928433,-124.459985,1.0386871912296,-125.222130342112,0.0458438912296041,-0.345914609867023
66,1,115,1.28,0.18,1.036209,-124.909318,1.08405729238731,-125.675568235403,0.0478482923873065,-0.35001950315764
67,1,115,2.02,0.65,1.0523974,-124.505974,1.10115123375942,-125.317752426733,0.0487538337594193,-0.395547694488059
68,1,115,2.02,0.58,1.0530639,-124.517048,1.10283111308187,-125.333745693963,0.0497672130818716,-0.40046696171801
69,1,115,0,0,1.053144,-124.526475,1.10277692343959,-125.341686120695,0.049632923439586,-0.39898038844963
70,1,115,2.02,0.22,1.0531363,-124.52766,1.10276950083935,-125.342768895238,0.0496332008393507,-0.398878162993327
71,1,230,0,0,1.0486956,-124.634818,1.09695399518227,-125.43178652138,0.0482583951822664,-0.380737789134571
72,1,115,6.36,0.87,1.0448589,-124.843368,1.09300693616612,-125.62196436661,0.0481480361661188,-0.362365634364949
73,1,230,0,0,1.0488112,-124.630721,1.0970713726174,-125.42812625593,0.0482601726173955,-0.381174523685232
74,1,115,2.7,0.77,1.0224561,-124.787261,1.06960423650111,-125.555616732503,0.0471481365011086,-0.352125000257658
75,1,115,0,0,1.0224713,-124.785874,1.069618799159,-125.55434779745,0.0471474991590037,-0.352243065204547
76,1,115,1.25,0.39,1.0316255,-124.794782,1.07913490071076,-125.56964497913,0.0475094007107641,-0.358632246884824
77,1,115,5.76,1.73,1.0539321,-124.078429,1.09649272960427,-124.878727981423,0.0425606296042744,-0.384068249178426
78,1,115,0,0,1.0549001,-124.107087,1.09728366606902,-124.904794550292,0.0423835660690244,-0.381476818046664
79,1,115,5.76,0.61,1.0548829,-124.110135,1.09726707179176,-124.907610383239,0.0423841717917643,-0.381244650994375
80,1,230,0,0,1.0468859,-123.470244,1.08910585730398,-124.313138657333,0.0422199573039814,-0.426663925088363
81,1,115,0,0,1.0537123,-124.032998,1.09633807963174,-124.836797457316,0.0426257796317437,-0.38756872507139
82,1,230,5.76,0.9,1.0468644,-123.473215,1.08908514032038,-124.315881367874,0.0422207403203811,-0.426435635628707
83,1,230,0,0,1.0527542,-123.145189,1.09161985725494,-123.98687727179,0.0388656572549386,-0.425457539545405
84,1,230,2.38,0.27,1.0527471,-123.146408,1.09161299096336,-123.988010535644,0.0388658909633557,-0.42537180339896
85,1,115,0,0,1.0696385,-124.126983,1.10817516359501,-124.910267365036,0.03853666359501,-0.367053632791382
86,1,115,1.3,0.1,1.0696339,-124.127736,1.10817077159007,-124.910966785175,0.038536871590074,-0.367000052929711
87,1,115,1.5,0.31,1.053761,-124.660914,1.10363372594918,-125.466496773628,0.0498727259491825,-0.389352041382466
88,1,115,1.5,0.63,1.0538607,-124.676963,1.10375016360155,-125.481454081663,0.0498894636015506,-0.388260349417578
89,1,115,1.5,0.87,1.0537496,-124.655023,1.10360497709725,-125.461141149225,0.0498553770972499,-0.389887416980159
90,1,115,0,0,1.048743,-124.87206,1.09670625222925,-125.653594894297,0.0479632522292475,-0.365304162052411
91,1,115,1.93,0.17,1.0487357,-124.87318,1.09669932709271,-125.654620195761,0.0479636270927126,-0.36520946351618
92,1,230,0,0,1.051796,-124.486209,1.1000388464206,-125.296756281496,0.0482428464205991,-0.394316549251315
93,1,115,0,0,1.0422128,-124.721865,1.09004540782716,-125.512027198895,0.0478326078271645,-0.373931466649708
94,1,230,3.41,0.21,1.0517861,-124.488119,1.10002940488852,-125.298503931094,0.048243304888516,-0.39415419884871
95,1,115,2.35,0.88,1.0474778,-124.869766,1.09544340971277,-125.650956161005,0.0479656097127681,-0.364959428760031
96,1,230,0,0,1.0528152,-124.366841,1.10079522152316,-125.1875826803,0.0479800215231572,-0.404510948054835
97,1,115,0,0,1.0542173,-124.462792,1.10202260158661,-125.277168367656,0.0478053015866131,-0.398145635411169
98,1,13.8,0,0,1.0535248,-124.415454,1.10141632682395,-125.232966110822,0.0478915268239537,-0.401281378576684
99,1,1,0,0,1.0535248,-124.415454,1.10141632682395,-125.232966110822,0.0478915268239537,-0.401281378576684
100,1,230,2.79,0.45,1.0528036,-124.368373,1.10078416889098,-125.188984205504,0.0479805688909818,-0.404380473259309
101,1,115,0,0,1.0562256,-124.402794,1.10315420200068,-125.218762803801,0.0469286020006798,-0.399738071555873
102,1,115,1.66,0.35,1.0562185,-124.403714,1.10314729745365,-125.219607983016,0.0469287974536452,-0.399663250771184
103,1,115,1.66,0.23,1.0547688,-124.521345,1.10247942733546,-125.331161482338,0.0477106273354566,-0.393585750093109
104,1,115,2.47,0.14,1.0523033,-124.193501,1.09806981080298,-125.017303613613,0.0457665108029777,-0.407571881367701
105,1,115,1.79,0.84,1.065285,-123.645141,1.09334533158672,-124.383087013415,0.0280603315867209,-0.3217152811701
106,1,115,2.09,0.32,1.0536775,-124.162294,1.0974264440555,-124.968121117944,0.0437489440554972,-0.389596385699363
107,1,115,0,0,1.053686,-124.161256,1.09743459290979,-124.967163565175,0.0437485929097918,-0.389676832930391
