bus,status,pg_mw,qg_mvar,pmin_mw,pmax_mw,qmin_mvar,qmax_mvar,q_limit_utilization
845,1,186.77,7.76480860340311,36.02,186.8,-20.73,95.08,0.0816660559886738
850,1,211.47,26.6350928644681,83.04,211.5,-25.8,98.56,0.270242419485269
851,1,211.47,50.8779796689767,80.7,211.5,-25.8,98.56,0.516213267745299
852,1,211.47,52.0240341098876,40.64,211.5,-25.8,98.56,0.527841255173372
853,1,211.47,26.4233316428572,104.92,211.5,-25.8,98.56,0.268093868129639
856,1,1.2,0.46,0.48,1.2,-0.06,0.46,1
856,0,0,0,0.35,1.2,-0.06,0.46,NaN
856,0,0,0,0.18,1.2,-0.06,0.46,NaN
856,1,1.2,0.46,0.5,1.2,-0.06,0.46,1
856,1,1.2,0.46,0.51,1.2,-0.06,0.46,1
856,0,0,0,0.32,1.2,-0.06,0.46,NaN
859,0,0,0,1.21,3,-0.33,1.53,NaN
863,1,6.5,-0.32,2.08,6.5,-0.32,2.5,1
863,1,6.5,-0.32,3.11,6.5,-0.32,2.5,1
869,1,6.4,-0.31,1.1,6.4,-0.31,2.46,1
869,1,6.4,-0.31,1.07,6.4,-0.31,2.46,1
870,1,6.4,-0.31,1.06,6.4,-0.31,2.46,1
873,1,14.2,5.45,3.53,14.2,-0.7,5.45,1
874,1,14.2,-0.7,6.28,14.2,-0.7,5.45,1
881,1,137.23,25.1104276142528,68.21,137.25,-15.23,69.86,0.359439273035397
882,1,137.23,33.3823898918225,47.32,137.25,-15.23,69.86,0.477846978125143
885,1,0.3,-0.01,0.14,0.3,-0.01,0.12,1
885,1,0.3,-0.01,0.13,0.3,-0.01,0.12,1
885,1,0.3,-0.01,0.11,0.3,-0.01,0.12,1
885,1,0.3,-0.01,0.05,0.3,-0.01,0.12,1
885,1,0.3,-0.01,0.06,0.3,-0.01,0.12,1
885,1,0.3,-0.01,0.14,0.3,-0.01,0.12,1
887,1,3.42,-0.17,1.04,3.42,-0.17,1.32,1
887,1,3.42,-0.17,0.48,3.42,-0.17,1.32,1
887,1,3.42,-0.17,0.47,3.42,-0.17,1.32,1
887,1,3.42,-0.17,0.89,3.42,-0.17,1.32,1
891,1,4.5,-0.65,1.03,4.5,-0.65,0.96,1
895,1,41.99,8.95,18.98,42,-6.05,8.95,1
899,1,19.1,7.33,6.57,19.1,-0.94,7.33,1
900,0,0,0,5.54,19.1,-0.94,7.33,NaN
900,1,19.1,-0.94,8.33,19.1,-0.94,7.33,1
900,1,19.1,-0.94,4.68,19.1,-0.94,7.33,1
905,1,2.22,-0.11,0.75,2.23,-0.11,0.85,1
