dataset,country,voltage_kv,total_lines,unique_pairs,duplicate_pairs,duplicate_lines,duplicate_lines_pct,lines_in_parallel_pairs,lines_in_parallel_pairs_pct,max_multiplicity
N490,N490,132.0,94,90,4,4,4.25531914893617,8,8.51063829787234,2
N490,N490,220.0,145,141,4,4,2.7586206896551726,8,5.517241379310345,2
N490,N490,300.0,119,117,2,2,1.680672268907563,4,3.361344537815126,2
N490,N490,380.0,237,231,6,6,2.5316455696202533,12,5.063291139240507,2
European comparison,Albania,110.0,141,134,7,7,4.964539007092198,14,9.929078014184396,2
European comparison,Albania,220.0,31,27,4,4,12.903225806451612,8,25.806451612903224,2
European comparison,Albania,400.0,3,3,0,0,0.0,0,0.0,1
European comparison,Belgium,150.0,521,309,155,212,40.69097888675624,367,70.44145873320538,16
European comparison,Belgium,220.0,70,30,11,40,57.142857142857146,51,72.85714285714286,17
European comparison,Belgium,380.0,75,40,30,35,46.666666666666664,65,86.66666666666667,4
European comparison,Bosnia&Herzegovina,110.0,222,216,6,6,2.7027027027027026,12,5.405405405405405,2
European comparison,Bosnia&Herzegovina,220.0,28,22,5,6,21.428571428571427,11,39.285714285714285,3
European comparison,Bosnia&Herzegovina,400.0,10,10,0,0,0.0,0,0.0,1
European comparison,Croatia,110.0,330,290,39,40,12.121212121212121,79,23.939393939393938,3
European comparison,Croatia,220.0,23,18,5,5,21.73913043478261,10,43.47826086956522,2
European comparison,Croatia,400.0,5,5,0,0,0.0,0,0.0,1
European comparison,Czechia,110.0,934,728,184,206,22.055674518201286,390,41.7558886509636,6
European comparison,Czechia,220.0,26,20,6,6,23.076923076923077,12,46.15384615384615,2
European comparison,Czechia,400.0,59,47,10,12,20.338983050847457,22,37.28813559322034,4
European comparison,Denmark,132.0,128,112,15,16,12.5,31,24.21875,3
European comparison,Denmark,150.0,2,2,0,0,0.0,0,0.0,1
European comparison,Denmark,165.0,118,109,6,9,7.627118644067797,15,12.711864406779661,3
European comparison,Denmark,232.0,8,8,0,0,0.0,0,0.0,1
European comparison,Denmark,400.0,51,48,3,3,5.882352941176471,6,11.764705882352942,2
European comparison,Estonia,110.0,215,185,30,30,13.953488372093023,60,27.906976744186046,2
European comparison,Estonia,330.0,16,16,0,0,0.0,0,0.0,1
European comparison,Hungary,120.0,579,467,109,112,19.34369602763385,221,38.1692573402418,4
European comparison,Hungary,220.0,25,17,7,8,32.0,15,60.0,3
European comparison,Hungary,400.0,36,33,3,3,8.333333333333334,6,16.666666666666668,2
European comparison,Ireland,110.0,385,351,32,34,8.831168831168831,66,17.142857142857142,3
European comparison,Ireland,220.0,65,59,5,6,9.23076923076923,11,16.923076923076923,3
European comparison,Ireland,275.0,13,13,0,0,0.0,0,0.0,1
European comparison,Ireland,400.0,4,4,0,0,0.0,0,0.0,1
European comparison,Latvia,110.0,199,178,21,21,10.552763819095478,42,21.105527638190956,2
European comparison,Latvia,330.0,21,20,1,1,4.761904761904762,2,9.523809523809524,2
European comparison,Lithuania,110.0,306,304,2,2,0.6535947712418301,4,1.3071895424836601,2
European comparison,Lithuania,330.0,23,22,1,1,4.3478260869565215,2,8.695652173913043,2
European comparison,Netherlands,110.0,189,132,51,57,30.158730158730158,108,57.142857142857146,4
European comparison,Netherlands,150.0,384,248,123,136,35.416666666666664,259,67.44791666666667,3
European comparison,Netherlands,220.0,30,15,14,15,50.0,29,96.66666666666667,3
European comparison,Netherlands,400.0,66,39,25,27,40.90909090909091,52,78.78787878787878,3
European comparison,Portugal,150.0,100,70,23,30,30.0,53,53.0,4
European comparison,Portugal,220.0,135,93,37,42,31.11111111111111,79,58.51851851851852,4
European comparison,Portugal,400.0,79,69,10,10,12.658227848101266,20,25.31645569620253,2
European comparison,Slovakia,110.0,412,334,63,78,18.932038834951456,141,34.22330097087379,4
European comparison,Slovakia,220.0,8,6,2,2,25.0,4,50.0,2
European comparison,Slovakia,400.0,37,31,4,6,16.216216216216218,10,27.027027027027028,4
European comparison,Slovenia,110.0,218,182,34,36,16.513761467889907,70,32.11009174311926,3
European comparison,Slovenia,220.0,4,4,0,0,0.0,0,0.0,1
European comparison,Slovenia,400.0,11,8,3,3,27.272727272727273,6,54.54545454545455,2
