country,n_nodes,n_branches,mean_degree,ccdf_gamma,anchored_A,anchored_gamma,plot_file,ccdf_native_n_points,ccdf_native_r2,ccdf_native_adjusted_r2,ccdf_native_rmse,ccdf_native_mae,ccdf_native_aic,ccdf_native_aicc,anchored_native_n_points,anchored_native_r2,anchored_native_adjusted_r2,anchored_native_rmse,anchored_native_mae,anchored_native_aic,anchored_native_aicc,ccdf_common_n_points,ccdf_common_r2,ccdf_common_adjusted_r2,ccdf_common_rmse,ccdf_common_mae,ccdf_common_aic,ccdf_common_aicc,anchored_common_n_points,anchored_common_r2,anchored_common_adjusted_r2,anchored_common_rmse,anchored_common_mae,anchored_common_aic,anchored_common_aicc
Albania,133,175,2.6315789473684212,3.124040932606366,0.8298126357276743,1.1078572984808004,/Users/geoffreydesena/Documents/N490/euro-comparison/hartmann-investigation/model-comparison-plots/Albania_ccdf_model_comparison.png,15,0.8356758552450808,0.8230355364177794,0.12262296092028149,0.07833244145626102,-60.95922969446947,-60.651537386777164,14,0.9842338691016366,0.9813672998473887,0.026932426512878044,0.02302012969425601,-97.20387960945705,-96.11297051854795,14,0.7663216351179144,0.7468484380444073,0.10368648978574418,0.06436173760856075,-61.45873671068435,-61.12540337735101,14,0.9842338691016366,0.9813672998473887,0.026932426512878044,0.02302012969425601,-97.20387960945705,-96.11297051854795
Belgium,281,666,4.740213523131673,5.137130148300525,0.8063071884467055,3.8448884273322204,/Users/geoffreydesena/Documents/N490/euro-comparison/hartmann-investigation/model-comparison-plots/Belgium_ccdf_model_comparison.png,29,0.9550409754158611,0.9533758263571893,0.05354452085321963,0.024278822616102508,-167.78002472811514,-167.63187657996698,28,0.9811745412233008,0.9796685045211649,0.027496456298065935,0.0201188329384121,-197.24709609208563,-196.76709609208564,28,0.9538872032061828,0.9521136340987283,0.04303429311207353,0.01882854730688043,-174.162446146389,-174.00859999254283,28,0.9811745412233008,0.9796685045211649,0.027496456298065935,0.0201188329384121,-197.24709609208563,-196.76709609208564
Bosnia&Herzegovina,188,260,2.765957446808511,3.3038573818541384,0.8272100553794827,1.374664361029846,/Users/geoffreydesena/Documents/N490/euro-comparison/hartmann-investigation/model-comparison-plots/BosniaandHerzegovina_ccdf_model_comparison.png,14,0.852415707711424,0.840117016687376,0.1196363717701436,0.08249355653699018,-57.452354413416295,-57.11902108008296,13,0.9825996667546405,0.9791196001055686,0.02981887055245147,0.023490214171648822,-87.32795999255463,-86.12795999255462,13,0.8010336967289048,0.7829458509769871,0.10083288012103651,0.06874983545017267,-57.651560406278314,-57.28792404264195,13,0.9825996667546405,0.9791196001055686,0.02981887055245147,0.023490214171648822,-87.32795999255463,-86.12795999255462
Croatia,241,358,2.970954356846473,3.4667643037449953,0.8319207273290099,1.513181465187808,/Users/geoffreydesena/Documents/N490/euro-comparison/hartmann-investigation/model-comparison-plots/Croatia_ccdf_model_comparison.png,15,0.8613510062077375,0.8506856989929481,0.11279675184938807,0.07284251872185375,-63.46503207982704,-63.15733977213473,14,0.9692533520414605,0.9636630524126351,0.03885534582404029,0.030958751914817676,-86.94146907961698,-85.85055998870789,14,0.8137175442872296,0.7981940063111654,0.09563962580531474,0.06014710696392268,-63.72070537012321,-63.38737203678988,14,0.9692533520414605,0.9636630524126351,0.03885534582404029,0.030958751914817676,-86.94146907961698,-85.85055998870789
Czechia,521,1019,3.9117082533589254,4.202363752896821,0.8629783329717847,2.264356595417165,/Users/geoffreydesena/Documents/N490/euro-comparison/hartmann-investigation/model-comparison-plots/Czechia_ccdf_model_comparison.png,35,0.9104544526907381,0.9077409512571241,0.06919755196741939,0.029513204636297953,-184.95528552243388,-184.83407340122176,34,0.9630907166681132,0.960709472582185,0.03391235147247712,0.02306806263233796,-226.11036668995223,-225.7232699157587,34,0.8841366818451554,0.8805159531528165,0.06008458686175336,0.024152804307812057,-189.21613114065906,-189.09113114065906,34,0.9630907166681132,0.960709472582185,0.03391235147247712,0.02306806263233796,-226.11036668995223,-225.7232699157587
Denmark,204,307,3.0098039215686274,3.5433303627199395,0.7458345482823959,2.065818328491454,/Users/geoffreydesena/Documents/N490/euro-comparison/hartmann-investigation/model-comparison-plots/Denmark_ccdf_model_comparison.png,16,0.9095535778381438,0.903093119112297,0.0867902615771763,0.056410137628699765,-76.21634743748358,-75.93063315176929,15,0.9971559027869454,0.9966818865847696,0.010924254426064258,0.009126023828462459,-131.50309355249317,-130.50309355249317,15,0.9045803115614884,0.8972403355277567,0.0632759370051864,0.04377797912604653,-80.80750492607476,-80.49981261838245,15,0.9971559027869454,0.9966818865847696,0.010924254426064258,0.009126023828462459,-131.50309355249317,-130.50309355249317
Estonia,153,231,3.019607843137255,3.605174114857183,0.8992731264491335,1.5027109472165685,/Users/geoffreydesena/Documents/N490/euro-comparison/hartmann-investigation/model-comparison-plots/Estonia_ccdf_model_comparison.png,11,0.8254737434097021,0.8060819371218912,0.14277515867197865,0.10481150533538916,-40.82265246795701,-40.37820802351257,10,0.979306982737426,0.9733946920909763,0.03821761811007284,0.03247757870256914,-61.28917325245857,-59.57488753817285,10,0.7654474871926105,0.7361284230916868,0.1286683558203219,0.09106937215741492,-39.010341402687445,-38.510341402687445,10,0.979306982737426,0.9733946920909763,0.03821761811007284,0.03247757870256914,-61.28917325245857,-59.57488753817285
Hungary,387,640,3.3074935400516794,3.7746880988841744,0.8760162872453999,1.724759257188309,/Users/geoffreydesena/Documents/N490/euro-comparison/hartmann-investigation/model-comparison-plots/Hungary_ccdf_model_comparison.png,19,0.8705046042455407,0.8628872280246901,0.10374086101465646,0.05902499276977493,-84.10264999356232,-83.86735587591527,18,0.9571796333781806,0.951470251161938,0.045205376291238185,0.0340014972749635,-107.47541316995121,-106.67541316995121,18,0.8250144483060209,0.8140778513251472,0.09138312250631928,0.04937445746192495,-84.13700102313395,-83.88700102313395,18,0.9571796333781806,0.951470251161938,0.045205376291238185,0.0340014972749635,-107.47541316995121,-106.67541316995121
Ireland,306,467,3.052287581699346,3.6040485527692527,0.7620040484833304,2.081106699655138,/Users/geoffreydesena/Documents/N490/euro-comparison/hartmann-investigation/model-comparison-plots/Ireland_ccdf_model_comparison.png,15,0.9064484697346891,0.899252198175819,0.09075071735680543,0.06377059264150063,-69.98916703330698,-69.68147472561468,14,0.9980005793355418,0.9976370483056403,0.00956607973779077,0.008100598133516173,-126.18689035008134,-125.09598125917225,14,0.8988273817547603,0.8903963302343236,0.06804769253340621,0.0510186008828281,-73.25130084805701,-72.91796751472368,14,0.9980005793355418,0.9976370483056403,0.00956607973779077,0.008100598133516173,-126.18689035008134,-125.09598125917225
Latvia,147,220,2.993197278911565,3.553037363850559,0.8963045722598637,1.4079001319939164,/Users/geoffreydesena/Documents/N490/euro-comparison/hartmann-investigation/model-comparison-plots/Latvia_ccdf_model_comparison.png,11,0.8186249913000584,0.7984722125556204,0.14441976728728143,0.10417801276624372,-40.57068572506515,-40.126241280620704,10,0.9704526663870594,0.9620105710690764,0.044894385148826585,0.03919694950281555,-58.06885088836583,-56.354565174080115,10,0.7518788348875983,0.720863689248548,0.13009625234330013,0.09006472921591405,-38.78961399697199,-38.28961399697199,10,0.9704526663870594,0.9620105710690764,0.044894385148826585,0.03919694950281555,-58.06885088836583,-56.354565174080115
