country,gamma_exp_k,A_anchored,gamma_anchored,exp_r2,anchored_r2,exp_adjusted_r2,anchored_adjusted_r2,exp_rmse,anchored_rmse,exp_mae,anchored_mae,exp_aic,anchored_aic,exp_aicc,anchored_aicc,lower_aicc_model
Albania,3.124040932606366,0.8298126357276743,1.1078572984808004,0.7663216351179144,0.9842338691016366,0.7468484380444073,0.9813672998473887,0.10368648978574418,0.026932426512878044,0.06436173760856075,0.02302012969425601,-61.45873671068435,-97.20387960945705,-61.12540337735101,-96.11297051854795,anchored k>=2
Belgium,5.137130148300525,0.8063071884467055,3.8448884273322204,0.9538872032061828,0.9811745412233008,0.9521136340987283,0.9796685045211649,0.04303429311207353,0.027496456298065935,0.01882854730688043,0.0201188329384121,-174.162446146389,-197.24709609208563,-174.00859999254283,-196.76709609208564,anchored k>=2
Bosnia&Herzegovina,3.3038573818541384,0.8272100553794827,1.374664361029846,0.8010336967289048,0.9825996667546405,0.7829458509769871,0.9791196001055686,0.10083288012103651,0.02981887055245147,0.06874983545017267,0.023490214171648822,-57.651560406278314,-87.32795999255463,-57.28792404264195,-86.12795999255462,anchored k>=2
Croatia,3.4667643037449953,0.8319207273290099,1.513181465187808,0.8137175442872296,0.9692533520414605,0.7981940063111654,0.9636630524126351,0.09563962580531474,0.03885534582404029,0.06014710696392268,0.030958751914817676,-63.72070537012321,-86.94146907961698,-63.38737203678988,-85.85055998870789,anchored k>=2
Czechia,4.202363752896821,0.8629783329717847,2.264356595417165,0.8841366818451554,0.9630907166681132,0.8805159531528165,0.960709472582185,0.06008458686175336,0.03391235147247712,0.024152804307812057,0.02306806263233796,-189.21613114065906,-226.11036668995223,-189.09113114065906,-225.7232699157587,anchored k>=2
Denmark,3.5433303627199395,0.7458345482823959,2.065818328491454,0.9045803115614884,0.9971559027869454,0.8972403355277567,0.9966818865847696,0.0632759370051864,0.010924254426064258,0.04377797912604653,0.009126023828462459,-80.80750492607476,-131.50309355249317,-80.49981261838245,-130.50309355249317,anchored k>=2
Estonia,3.605174114857183,0.8992731264491335,1.5027109472165685,0.7654474871926105,0.979306982737426,0.7361284230916868,0.9733946920909763,0.1286683558203219,0.03821761811007284,0.09106937215741492,0.03247757870256914,-39.010341402687445,-61.28917325245857,-38.510341402687445,-59.57488753817285,anchored k>=2
Hungary,3.7746880988841744,0.8760162872453999,1.724759257188309,0.8250144483060209,0.9571796333781806,0.8140778513251472,0.951470251161938,0.09138312250631928,0.045205376291238185,0.04937445746192495,0.0340014972749635,-84.13700102313395,-107.47541316995121,-83.88700102313395,-106.67541316995121,anchored k>=2
Ireland,3.6040485527692527,0.7620040484833304,2.081106699655138,0.8988273817547603,0.9980005793355418,0.8903963302343236,0.9976370483056403,0.06804769253340621,0.00956607973779077,0.0510186008828281,0.008100598133516173,-73.25130084805701,-126.18689035008134,-72.91796751472368,-125.09598125917225,anchored k>=2
Latvia,3.553037363850559,0.8963045722598637,1.4079001319939164,0.7518788348875983,0.9704526663870594,0.720863689248548,0.9620105710690764,0.13009625234330013,0.044894385148826585,0.09006472921591405,0.03919694950281555,-38.78961399697199,-58.06885088836583,-38.28961399697199,-56.354565174080115,anchored k>=2
Lithuania,3.070269469162538,0.865203659363338,1.038682906860848,0.71979429837533,0.9955651007388819,0.6847685856722463,0.9942979866642768,0.13592300093007753,0.0171000094340936,0.10208958006894608,0.013288634808748256,-37.913334464248294,-77.3735252754459,-37.413334464248294,-75.65923956116019,anchored k>=2
Netherlands,4.9174165231192495,0.9241147158323118,3.027435029161696,0.8902790268787902,0.9942318752206445,0.8824418145129895,0.993344471408436,0.08649862401262676,0.019832693349179406,0.06410829259143243,0.014320006635395167,-76.32405672125772,-121.4535527592925,-76.03834243554343,-120.53047583621559,anchored k>=2
Portugal,4.856862004015303,0.7703019118558614,3.7500692731562992,0.9614982689058446,0.9897994098410912,0.9590919107124598,0.9884393311532367,0.042069448052614665,0.02165405997456604,0.025445652956496742,0.0157027488427895,-112.06360604334236,-133.97224331916237,-111.81360604334236,-133.17224331916236,anchored k>=2
Slovakia,3.987275073425457,0.7987218905349304,2.2468096773458117,0.8830112408808646,0.9457607339753225,0.8785116732224363,0.9414215926933482,0.060467580783114164,0.041172518011301826,0.025993713181159388,0.028429012205240908,-155.11628309391875,-174.6391198903636,-154.9624369400726,-174.1591198903636,anchored k>=2
Slovenia,3.7798151756073763,0.8720724047050352,1.6618003587285528,0.8108879631726988,0.9470752237673278,0.7982804940508788,0.9395145414483747,0.09325069863020327,0.04933123900395901,0.05070545754402159,0.04275495826602928,-78.66376676809469,-98.31272341193055,-78.39710010142802,-97.45558055478769,anchored k>=2
