country,n_nodes,n_branches,mean_degree,gamma_published,paper_implied_C,nonlinear_C,nonlinear_gamma,nonlinear_r2_probability,nonlinear_rmse_probability,nonlinear_r2_log,nonlinear_rmse_log,nonlinear_C_from_gamma,nonlinear_C_minus_1_over_gamma,nonlinear_C_ratio_to_1_over_gamma,loglinear_C,loglinear_gamma,loglinear_slope,loglinear_intercept,loglinear_r2_probability,loglinear_rmse_probability,loglinear_r2_log,loglinear_rmse_log,loglinear_C_from_gamma,loglinear_C_minus_1_over_gamma,loglinear_C_ratio_to_1_over_gamma,nonlinear_gamma_difference,nonlinear_gamma_error_percent,loglinear_gamma_difference,loglinear_gamma_error_percent,closer_method
Albania,133,175,2.6315789473684212,1.108,0.9025270758122743,,,,,,,,,,0.7999298808511662,2.889109754240993,-0.3461273835416173,-0.22323120409164446,0.8315075710977617,0.12416846256056918,0.9382181334180312,0.3837496098675632,0.3461273835416173,0.4538024973095489,2.3110852214759396,,,1.781109754240993,160.7499778195842,tie
Belgium,281,666,4.740213523131673,3.845,0.2600780234070221,,,,,,,,,,1.1002654430512622,4.68151487899451,-0.2136060710790219,0.09555146255808375,0.9488931414850428,0.057088178922480075,0.9830641253770241,0.234571639362574,0.2136060710790219,0.8866593719722402,5.150909042487971,,,0.8365148789945098,21.755913627945638,tie
Bosnia&Herzegovina,188,260,2.765957446808511,1.376,0.7267441860465117,,,,,,,,,,1.2961033829181714,2.3346239703510356,-0.4283345038428777,0.2593623655187583,0.7738487121158633,0.14809578488498518,0.9813023455290109,0.23834271868582296,0.4283345038428777,0.8677688790752938,3.02591402581383,,,0.9586239703510357,69.66743970574387,tie
Croatia,241,358,2.970954356846473,1.514,0.6605019815059445,,,,,,,,,,1.1107358888435297,2.8191880504680364,-0.3547120596776018,0.10502275858350368,0.831826866095076,0.12422715556105356,0.9711213399843509,0.264278060143326,0.3547120596776018,0.7560238291659279,3.1313733450536723,,,1.3051880504680364,86.20792935720188,tie
Czechia,521,1019,3.9117082533589254,2.266,0.44130626654898497,,,,,,,,,,0.6331310121837679,5.195312265901606,-0.19248121168063376,-0.4570779079788384,0.8799762811891751,0.08011286666139339,0.9477113041739863,0.4566193424434093,0.19248121168063376,0.4406498005031341,3.289313313521028,,,2.929312265901606,129.27238596211853,tie
Denmark,204,307,3.0098039215686274,2.066,0.48402710551790906,,,,,,,,,,1.0697997216328266,2.8577420338415758,-0.34992661624384985,0.0674714549101055,0.8760069003703634,0.10161879944896315,0.973318585567016,0.26707507593801394,0.34992661624384985,0.7198731053889766,3.057211632302145,,,0.7917420338415759,38.32246049572004,tie
Estonia,153,231,3.019607843137255,1.503,0.6653359946773121,,,,,,,,,,1.5075093845620255,2.37357104978795,-0.42130611598474715,0.41045887484826815,0.701772034426652,0.18663644245800773,0.9819990318766266,0.18038074043841995,0.42130611598474715,1.0862032685772784,3.578180632480073,,,0.87057104978795,57.922225534793746,tie
Hungary,387,640,3.3074935400516794,1.726,0.5793742757821553,,,,,,,,,,1.0914270234812677,3.1837808035480095,-0.314091974826156,0.08748603584578477,0.8515232096409232,0.11108411770276515,0.9840050102131659,0.21933644300420385,0.314091974826156,0.7773350486551118,3.4748644058332028,,,1.4577808035480095,84.46006973047564,tie
Ireland,306,467,3.052287581699346,2.081,0.48053820278712156,,,,,,,,,,1.5945958481729365,2.3842547912410024,-0.41941826170327245,0.46662031740353604,0.7896481086960647,0.1360811056868633,0.9943009377714611,0.13719032885805274,0.41941826170327245,1.175177586469664,3.801922791099334,,,0.3032547912410024,14.572551236953505,tie
Latvia,147,220,2.993197278911565,1.409,0.7097232079488999,,,,,,,,,,1.465539292186156,2.409447636802107,-0.4150328833571294,0.3822232922636072,0.7114276099781105,0.1821651542658448,0.9152897587644425,0.39927412377880955,0.4150328833571294,1.0505064088290266,3.5311401841985663,,,1.0004476368021071,71.00409061760874,tie
Lithuania,265,329,2.483018867924528,1.039,0.9624639076034649,,,,,,,,,,1.865064037174379,1.6473760264215154,-0.6070259515504988,0.6232953887928323,0.5744073124312339,0.22588512938997393,0.9852532024147028,0.2348454716476397,0.6070259515504988,1.2580380856238802,3.072461782581998,,,0.6083760264215154,58.55399676819206,tie
Netherlands,311,669,4.302250803858521,3.027,0.3303600925008259,,,,,,,,,,1.7101616679768366,3.1105163815288916,-0.32149002845259944,0.5365879087222039,0.761242166328618,0.15378119082373257,0.9784109869387239,0.23395313116365193,0.32149002845259944,1.3886716395242371,5.319485883304723,,,0.08351638152889151,2.7590479527218865,tie
Portugal,145,314,4.3310344827586205,3.748,0.26680896478121663,,,,,,,,,,1.329803558822522,3.834387491944775,-0.2607978463576739,0.28503123119148144,0.9089800829452528,0.08353357925383563,0.9857611856511077,0.171678410999879,0.2607978463576739,1.0690057124648482,5.0989821326927265,,,0.08638749194477491,2.3048957295831083,tie
Slovakia,249,457,3.6706827309236947,2.248,0.4448398576512455,,,,,,,,,,0.6458838354327455,4.883723874309449,-0.20476178132437892,-0.4371356126808651,0.8797212115378858,0.08310577395501278,0.9565310295655791,0.3652061350417717,0.20476178132437894,0.4411220541083666,3.154318307133454,,,2.6357238743094484,117.24750330558044,tie
Slovenia,136,233,3.426470588235294,1.663,0.6013229104028863,,,,,,,,,,0.7466459475311288,4.3334615628866375,-0.23076240217851904,-0.2921641720284057,0.8490562069721331,0.11124492447328742,0.9435121551921041,0.29294051602721016,0.23076240217851907,0.5158835453526097,3.2355615147112196,,,2.6704615628866373,160.5809719114033,tie
