country,n_nodes,n_branches,gamma_fit,gamma_published,gamma_difference,gamma_error_percent,r2,rmse,plot_file
Albania,133,175,3.124040932606366,1.108,2.0160409326063657,181.95315276230735,0.8356758552450808,0.12262296092028149,/Users/geoffreydesena/Documents/N490/euro-comparison/hartmann-investigation/country-plots/Albania_gamma_comparison.png
Belgium,281,666,5.137130148300525,3.845,1.2921301483005245,33.605465495462276,0.9550409754158611,0.05354452085321963,/Users/geoffreydesena/Documents/N490/euro-comparison/hartmann-investigation/country-plots/Belgium_gamma_comparison.png
Bosnia&Herzegovina,188,260,3.3038573818541384,1.376,1.9278573818541385,140.10591437893447,0.852415707711424,0.1196363717701436,/Users/geoffreydesena/Documents/N490/euro-comparison/hartmann-investigation/country-plots/BosniaandHerzegovina_gamma_comparison.png
Croatia,241,358,3.4667643037449953,1.514,1.9527643037449953,128.98046920376456,0.8613510062077375,0.11279675184938807,/Users/geoffreydesena/Documents/N490/euro-comparison/hartmann-investigation/country-plots/Croatia_gamma_comparison.png
Czechia,521,1019,4.202363752896821,2.266,1.9363637528968214,85.45294584716777,0.9104544526907381,0.06919755196741939,/Users/geoffreydesena/Documents/N490/euro-comparison/hartmann-investigation/country-plots/Czechia_gamma_comparison.png
Denmark,204,307,3.5433303627199395,2.066,1.4773303627199397,71.50679393610551,0.9095535778381438,0.0867902615771763,/Users/geoffreydesena/Documents/N490/euro-comparison/hartmann-investigation/country-plots/Denmark_gamma_comparison.png
Estonia,153,231,3.605174114857183,1.503,2.102174114857183,139.8652105693402,0.8254737434097021,0.14277515867197865,/Users/geoffreydesena/Documents/N490/euro-comparison/hartmann-investigation/country-plots/Estonia_gamma_comparison.png
Hungary,387,640,3.7746880988841744,1.726,2.0486880988841745,118.6957183594539,0.8705046042455407,0.10374086101465646,/Users/geoffreydesena/Documents/N490/euro-comparison/hartmann-investigation/country-plots/Hungary_gamma_comparison.png
Ireland,306,467,3.6040485527692527,2.081,1.5230485527692528,73.18830143052632,0.9064484697346891,0.09075071735680543,/Users/geoffreydesena/Documents/N490/euro-comparison/hartmann-investigation/country-plots/Ireland_gamma_comparison.png
Latvia,147,220,3.553037363850559,1.409,2.1440373638505585,152.16730758343212,0.8186249913000584,0.14441976728728143,/Users/geoffreydesena/Documents/N490/euro-comparison/hartmann-investigation/country-plots/Latvia_gamma_comparison.png
Lithuania,265,329,3.070269469162538,1.039,2.031269469162538,195.50235506857925,0.8013138100194503,0.15433854557221902,/Users/geoffreydesena/Documents/N490/euro-comparison/hartmann-investigation/country-plots/Lithuania_gamma_comparison.png
Netherlands,311,669,4.9174165231192495,3.027,1.8904165231192493,62.45181774427649,0.9087949821775326,0.09504598394601894,/Users/geoffreydesena/Documents/N490/euro-comparison/hartmann-investigation/country-plots/Netherlands_gamma_comparison.png
Portugal,145,314,4.856862004015303,3.748,1.108862004015303,29.58543233765483,0.9543571833764404,0.05915331546237199,/Users/geoffreydesena/Documents/N490/euro-comparison/hartmann-investigation/country-plots/Portugal_gamma_comparison.png
Slovakia,249,457,3.987275073425457,2.248,1.739275073425457,77.36988760789399,0.9089720597600683,0.07229762549575851,/Users/geoffreydesena/Documents/N490/euro-comparison/hartmann-investigation/country-plots/Slovakia_gamma_comparison.png
Slovenia,136,233,3.7798151756073763,1.663,2.1168151756073765,127.28894621812246,0.8632142039621702,0.10589929699160777,/Users/geoffreydesena/Documents/N490/euro-comparison/hartmann-investigation/country-plots/Slovenia_gamma_comparison.png
