country,n_matching_layers,matching_bands,mean_mahalanobis_distance_squared,rms_mahalanobis_distance,weight,normalized_weight
Latvia,1,300 kV,0.05340149958544113,0.2310876448134801,0.9736525636645521,0.1273443692720867
Slovakia,1,380 kV,0.07355436610408575,0.27120908189823906,0.9638908826481315,0.12606763549819028
Lithuania,1,300 kV,0.09050722865382715,0.3008441933191119,0.9557550579176022,0.12500354805315947
Ireland,2,"220 kV, 300 kV",0.3029827892420361,0.5504387243299985,0.859425277921329,0.11240454145313104
Czechia,2,"220 kV, 380 kV",0.6554474106649731,0.8095970668579359,0.7205620796646561,0.09424257376873935
Estonia,1,300 kV,0.7295444849707596,0.8541337629263696,0.6943547773884075,0.09081491127059836
Croatia,1,220 kV,0.7714810003321496,0.8783399116128958,0.6799469489087515,0.08893050619758475
Hungary,2,"220 kV, 380 kV",1.2099082212831254,1.0999582816103188,0.5460994862197865,0.071424548373529
Albania,1,220 kV,1.399463457540403,1.1829892043211565,0.4967185412126418,0.06496599680116241
Bosnia&Herzegovina,2,"220 kV, 380 kV",1.7079883637521684,1.3069002883740475,0.42571116381894836,0.0556789163524324
Portugal,2,"220 kV, 380 kV",2.8893242672769723,1.6998012434625915,0.23582574068214704,0.030843733510300866
Netherlands,2,"220 kV, 380 kV",5.935492679188856,2.4362866578440348,0.0514190609533939,0.0067251174906050514
Denmark,2,"220 kV, 380 kV",6.89990658749189,2.626767326485521,0.03174711913245243,0.004152217138844615
Belgium,2,"220 kV, 380 kV",9.072269662082142,3.012020860167164,0.010714740903883968,0.001401384819635748
