country,n_matching_layers,matching_bands,mean_mahalanobis_distance_squared,rms_mahalanobis_distance,similarity_weight,evidence_factor,weight,normalized_weight
Hungary,2,"220 kV, 380 kV",0.4940274822236604,0.7028708858842144,0.781129959863498,0.816496580927726,0.637789941488758,0.1234958414566949
Netherlands,2,"220 kV, 380 kV",0.6192049245205893,0.7868957520031413,0.733738587032746,0.816496580927726,0.5990950476069778,0.1160033142637238
Croatia,1,220 kV,0.08472563510008671,0.2910766825083842,0.9585219488914214,0.5773502691896257,0.5534029052166268,0.1071559035327175
Latvia,1,300 kV,0.13051538508658586,0.3612691311011582,0.9368260191900482,0.5773502691896257,0.5408767543632198,0.10473045364831812
Lithuania,1,300 kV,0.1695196993036226,0.4117277004327285,0.9187328919347997,0.5773502691896257,0.5304306824719199,0.10270777132892951
Slovakia,1,380 kV,0.28321520674226175,0.5321796752434855,0.8679617749468731,0.5773502691896257,0.5011179644118825,0.09703192330009856
Czechia,2,"220 kV, 380 kV",0.9985420962656051,0.9992707822535417,0.606972952555055,0.816496580927726,0.4955913404768093,0.0959617981242712
Belgium,2,"220 kV, 380 kV",1.187041489303892,1.08951433643798,0.5523790715044514,0.816496580927726,0.45101562325941646,0.08733056180616969
Ireland,2,"220 kV, 300 kV",1.9410353875323192,1.393210460602532,0.3788868399673737,0.816496580927726,0.30935980939187113,0.05990161883794037
Portugal,2,"220 kV, 380 kV",2.6078723322651247,1.6148908112516849,0.27146117107547046,0.816496580927726,0.22164711803775816,0.0429177313217424
Bosnia&Herzegovina,2,"220 kV, 380 kV",3.1136505543043387,1.764553925020241,0.21080425507525447,0.816496580927726,0.1721209535139615,0.03332793542795315
Albania,1,220 kV,2.8951999040701724,1.70152869622295,0.23513394416660593,0.5773502691896257,0.13575464596020836,0.0262862945053315
Estonia,1,300 kV,8.011784625686463,2.830509605298393,0.01820803474444744,0.5773502691896257,0.010512413761120788,0.002035528155461564
Denmark,2,"220 kV, 380 kV",9.911741656165267,3.148291863243506,0.007041945285046061,0.816496580927726,0.00574972424832023,0.0011133242906477938
