country,voltage_group,representative_voltage,target_band,n_nodes,C,gamma,R2,N490_C,N490_gamma,mahalanobis_distance,mahalanobis_distance_squared,point_weight
Albania,220 kV,220.0,220 kV,21,1.6838170930193257,2.1275570885795063,0.9708194315975334,1.9428829461011436,1.57549622704107,1.70152869622295,2.8951999040701724,0.23513394416660593
Belgium,220 kV,220.0,220 kV,28,1.8773224703198887,1.6862198375590065,0.971779476175106,1.9428829461011436,1.57549622704107,0.33027998986101365,0.10908487170259128,0.94691832471999
Belgium,380 kV,380.0,380 kV,36,1.8711062105934426,1.7070870670541958,0.9645680603692742,1.7400145158532374,2.113869636212591,1.504991065390487,2.264998106905193,0.32222698692239016
Bosnia&Herzegovina,220 kV,220.0,220 kV,19,1.7341108128701515,1.9009730315916926,0.9770312159756515,1.9428829461011436,1.57549622704107,0.9978233858291506,0.9956515093075501,0.6078508408556305
Bosnia&Herzegovina,400 kV,400.0,380 kV,11,2.127514518523788,1.3522181898465433,0.9867966238736623,1.7400145158532374,2.113869636212591,2.2872799564769344,5.231649599301127,0.07310746481041298
Croatia,220 kV,220.0,220 kV,18,1.8975795619783598,1.6031194220585594,0.978606890891775,1.9428829461011436,1.57549622704107,0.2910766825083842,0.08472563510008671,0.9585219488914214
Czechia,220 kV,220.0,220 kV,18,1.7967508106334464,1.7983903494813755,0.9823247583201042,1.9428829461011436,1.57549622704107,0.691380369295758,0.4780068150475386,0.7874121992423313
Czechia,400 kV,400.0,380 kV,39,1.680887953429164,1.993835840435424,0.9909208462789681,1.7400145158532374,2.113869636212591,1.232508570957489,1.5190773774836717,0.4678822165670035
Denmark,232 kV,232.0,220 kV,10,2.646871928081691,1.012859807963125,0.9777593071761762,1.9428829461011436,1.57549622704107,4.007496256496066,16.060026245829985,0.00032554393680699756
Denmark,400 kV,400.0,380 kV,42,1.7258970045220443,1.810247300710281,0.9939003004867162,1.7400145158532374,2.113869636212591,1.9399631611194448,3.763457066500549,0.15232657651056752
Estonia,330 kV,330.0,300 kV,12,1.6455413373478063,2.5474699761558615,0.7889460943868157,1.8722630052659341,1.802873724595611,2.830509605298393,8.011784625686463,0.01820803474444744
Hungary,220 kV,220.0,220 kV,17,1.8656085026722555,1.5283573450942638,0.9714915830641345,1.9428829461011436,1.57549622704107,0.9788650501497229,0.9581767864046195,0.6193477361433941
Hungary,400 kV,400.0,380 kV,25,1.7039744527809886,2.1548619350509837,0.9454862551305386,1.7400145158532374,2.113869636212591,0.1728530533218934,0.029878178042701327,0.9851719455628754
Ireland,220 kV,220.0,220 kV,45,1.7869103832583324,2.09092024596644,0.9022065199547298,1.9428829461011436,1.57549622704107,1.9650099142264368,3.8612639630081884,0.14505649648686456
Ireland,275 kV,275.0,300 kV,13,1.850394763410746,1.8153242312096305,0.7583801251942588,1.8722630052659341,1.802873724595611,0.14424566564181415,0.020806812056450043,0.9896505222257436
Latvia,330 kV,330.0,300 kV,17,1.873746643641927,1.8609890833779381,0.8772998201002142,1.8722630052659341,1.802873724595611,0.3612691311011582,0.13051538508658586,0.9368260191900482
Lithuania,330 kV,330.0,300 kV,20,1.9609170063414076,1.6902676145125315,0.8821402703743845,1.8722630052659341,1.802873724595611,0.4117277004327285,0.1695196993036226,0.9187328919347997
Netherlands,220 kV,220.0,220 kV,14,1.873581989152222,1.764449011822438,0.9000918980998546,1.9428829461011436,1.57549622704107,0.6551354901832889,0.42920251049769825,0.806863108470693
Netherlands,400 kV,400.0,380 kV,34,1.8711304886482962,1.825659031381316,0.900409127831875,1.7400145158532374,2.113869636212591,0.8995595247361234,0.8092073385434803,0.6672412066542827
Portugal,220 kV,220.0,220 kV,67,1.6741845437467566,2.228167108644276,0.9683519321447562,1.9428829461011436,1.57549622704107,2.133940182326612,4.5537007017481335,0.10260687395536479
Portugal,400 kV,400.0,380 kV,50,1.5959760484616992,2.3868466480709225,0.9701889191768156,1.7400145158532374,2.113869636212591,0.8136608401429404,0.6620439627821156,0.7181893820654003
Slovakia,400 kV,400.0,380 kV,25,1.7684604636133083,1.989526979248509,0.9480500642236755,1.7400145158532374,2.113869636212591,0.5321796752434855,0.28321520674226175,0.8679617749468731
