country,voltage_group,n_nodes,C,gamma,r2,weight,normalized_weight
Albania,110 kV,122,2.0003098260859487,1.6398631643665045,0.9099851425873984,0.13575464596020836,0.0262862945053315
Belgium,150 kV,247,1.7453351070944518,1.9203026234390286,0.9878370304842367,0.45101562325941646,0.08733056180616969
Bosnia&Herzegovina,110 kV,179,1.8401330510646003,1.8586833856859908,0.9443893545950108,0.1721209535139615,0.03332793542795315
Croatia,110 kV,236,1.8017524071712667,1.8935650313366168,0.9614691899769239,0.5534029052166268,0.1071559035327175
Czechia,110 kV,510,1.6694607583627585,2.1588072164008327,0.9794581733417698,0.4955913404768093,0.0959617981242712
Denmark,132–165 kV,175,1.7691820441409525,2.0019456710978836,0.9639992581992979,0.00574972424832023,0.0011133242906477938
Estonia,110 kV,151,1.8459496290312216,1.87930171636215,0.9292318244423721,0.010512413761120788,0.002035528155461564
Hungary,120 kV,381,1.7997157986471448,1.8638075389776596,0.9713486551344679,0.637789941488758,0.1234958414566949
Ireland,110 kV,288,1.7706551362197618,1.9173232800594928,0.9805287274476899,0.30935980939187113,0.05990161883794037
Latvia,110 kV,145,1.874929377762731,1.852127205155429,0.9074728286479854,0.5408767543632198,0.10473045364831812
Lithuania,110 kV,260,1.9209468255459583,1.7691719513215383,0.9160606016331007,0.5304306824719199,0.10270777132892951
Netherlands,110–150 kV,299,1.7525405961338958,1.996663065436918,0.9698370491712556,0.5990950476069778,0.1160033142637238
Portugal,150 kV,57,1.626313941781019,2.002725633615233,0.9906878523700741,0.22164711803775816,0.0429177313217424
Slovakia,110 kV,242,1.691849751130341,2.06843946631985,0.9704616713706359,0.5011179644118825,0.09703192330009856
