country,voltage_group,representative_voltage,target_band,n_nodes,C,gamma,R2,N490_C,N490_gamma,mahalanobis_distance,mahalanobis_distance_squared,point_weight
Albania,220 kV,220.0,220 kV,21,1.556481651502614,2.5039876996804513,0.9713589929180031,1.9095765360661638,1.6225956448618581,1.1829892043211565,1.399463457540403,0.4967185412126418
Belgium,220 kV,220.0,220 kV,28,1.087671103893167,4.741090357945081,0.9163088210784591,1.9095765360661638,1.6225956448618581,3.8159326142688523,14.561341716640717,0.0006887233728727316
Belgium,380 kV,380.0,380 kV,36,1.4807861948917445,3.483733661672927,0.9518129105412134,1.7312607559725568,2.143304676172088,1.8929335982869464,3.5831976075235663,0.16669344639560985
Bosnia&Herzegovina,220 kV,220.0,220 kV,19,1.5382682867701853,2.5378697138941804,0.9757627957801289,1.9095765360661638,1.6225956448618581,1.2422209951913776,1.5431130008942566,0.46229294884189914
Bosnia&Herzegovina,400 kV,400.0,380 kV,11,2.127514518523788,1.3522181898465433,0.9867966238736623,1.7312607559725568,2.143304676172088,1.368526114697882,1.8728637266100803,0.39202413849072754
Croatia,220 kV,220.0,220 kV,18,1.6575302866262014,2.1130271117941195,0.9842617815227287,1.9095765360661638,1.6225956448618581,0.8783399116128958,0.7714810003321496,0.6799469489087515
Czechia,220 kV,220.0,220 kV,18,1.60757598312398,2.478428480960345,0.9213504525916517,1.9095765360661638,1.6225956448618581,1.0558368195615147,1.1147913895417745,0.5726986053692088
Czechia,400 kV,400.0,380 kV,39,1.5998761567279183,2.4301455005697497,0.9805145245493901,1.7312607559725568,2.143304676172088,0.4428356713140574,0.19610343178817188,0.9066020168076518
Denmark,232 kV,232.0,220 kV,10,2.646871928081691,1.012859807963125,0.9777593071761762,1.9095765360661638,1.6225956448618581,3.59246338130994,12.905793146052849,0.0015759506948548312
Denmark,400 kV,400.0,380 kV,42,1.6509426525384856,1.9373189472713577,0.9913970333118921,1.7312607559725568,2.143304676172088,0.9455263237641416,0.8940200289309322,0.6395375036164871
Estonia,330 kV,330.0,300 kV,12,1.6455413373478063,2.5474699761558615,0.7889460943868157,1.856280690226597,1.8336493727554044,0.8541337629263696,0.7295444849707596,0.6943547773884075
Hungary,220 kV,220.0,220 kV,17,1.478754682955731,2.444210236362365,0.9850374302505326,1.9095765360661638,1.6225956448618581,1.512641558821958,2.2880844854753226,0.31852884505857637
Hungary,400 kV,400.0,380 kV,25,1.6262735194078057,2.434334209254754,0.9422211086681237,1.7312607559725568,2.143304676172088,0.3629489731228454,0.13173195709092797,0.9362563343193373
Ireland,220 kV,220.0,220 kV,45,1.7171825009306858,2.2703050328254397,0.9343082189054961,1.9095765360661638,1.6225956448618581,0.7746808321709419,0.6001303917330629,0.7407699239702683
Ireland,275 kV,275.0,300 kV,13,1.850394763410746,1.8153242312096305,0.7583801251942588,1.856280690226597,1.8336493727554044,0.0763883940858118,0.005835186751009287,0.997086658663802
Latvia,330 kV,330.0,300 kV,17,1.8370945139543955,1.9766151475634008,0.861079284821208,1.856280690226597,1.8336493727554044,0.2310876448134801,0.05340149958544113,0.9736525636645521
Lithuania,330 kV,330.0,300 kV,20,1.9171087506720659,1.7860117890762859,0.8655839339107816,1.856280690226597,1.8336493727554044,0.3008441933191119,0.09050722865382715,0.9557550579176022
Netherlands,220 kV,220.0,220 kV,14,1.5178097839293934,3.668609754512245,0.8946250929020563,1.9095765360661638,1.6225956448618581,2.8576975559298177,8.166435321167253,0.016853150597473554
Netherlands,400 kV,400.0,380 kV,34,1.4828791991263086,3.4957150866776656,0.8645455707377772,1.7312607559725568,2.143304676172088,1.924720768633845,3.7045500372104594,0.15687985543339214
Portugal,220 kV,220.0,220 kV,67,1.4204013857112556,3.486418771914945,0.9841990792834309,1.9095765360661638,1.6225956448618581,2.283509425856199,5.214415297974108,0.07374016497050762
Portugal,400 kV,400.0,380 kV,50,1.5237283248893232,2.7642955691647524,0.960242629921379,1.7312607559725568,2.143304676172088,0.7511546023155528,0.5642332365798363,0.7541857275546643
Slovakia,400 kV,400.0,380 kV,25,1.6567819627944305,2.3679943510368786,0.9548132280987122,1.7312607559725568,2.143304676172088,0.27120908189823906,0.07355436610408575,0.9638908826481315
