country,voltage_group,n_nodes,C,gamma,r2,weight,normalized_weight
Albania,110 kV,122,1.9427404813090963,1.7261278896762478,0.9200957577557431,0.4967185412126418,0.06496599680116241
Belgium,150 kV,247,1.3950869742592267,3.424961006608456,0.9881720085859186,0.010714740903883968,0.001401384819635748
Bosnia&Herzegovina,110 kV,179,1.8267313327300572,1.9006002835459572,0.9444384593452142,0.42571116381894836,0.0556789163524324
Croatia,110 kV,236,1.7103750094887598,2.1333656190878716,0.9614774642211191,0.6799469489087515,0.08893050619758475
Czechia,110 kV,510,1.534723559589049,2.778727255859687,0.9690057327567578,0.7205620796646561,0.09424257376873935
Denmark,132–165 kV,175,1.6616317353100694,2.2557577005594243,0.9788532384374528,0.03174711913245243,0.004152217138844615
Estonia,110 kV,151,1.729805330439668,2.194768286858523,0.9375833435241083,0.6943547773884075,0.09081491127059836
Hungary,120 kV,381,1.67325376632284,2.3133006181901172,0.9446844547908534,0.5460994862197865,0.071424548373529
Ireland,110 kV,288,1.6708584596256635,2.1378300124125036,0.9874412153575401,0.859425277921329,0.11240454145313104
Latvia,110 kV,145,1.764054785704644,2.1010080256699983,0.9255282069539947,0.9736525636645521,0.1273443692720867
Lithuania,110 kV,260,1.91711559742009,1.7753803760440567,0.9241497951219978,0.9557550579176022,0.12500354805315947
Netherlands,110–150 kV,299,1.509615461854749,3.155435839486086,0.9717948789407377,0.0514190609533939,0.0067251174906050514
Portugal,150 kV,57,1.3674769317371056,3.0748899375586842,0.9974021849946151,0.23582574068214704,0.030843733510300866
Slovakia,110 kV,242,1.5352040464884875,2.6050694105871384,0.9669818034912129,0.9638908826481315,0.12606763549819028
