country,voltage_group,n_branches_complete,n_branches_simple,edges_removed_pct,C_complete,C_simple,C_change_pct,gamma_complete,gamma_simple,gamma_change_pct,R2_complete,R2_simple
Albania,All,175,162,7.428571428571429,1.8156731970088658,1.8790182233682444,3.488790078728543,1.9016760319379882,1.7901296206620994,-5.865689497185935,0.9531921651064866,0.9482049162492835
Albania,110 kV,141,134,4.964539007092198,1.9427404813090963,2.0003098260859487,2.9633059757966156,1.7261278896762478,1.6398631643665045,-4.997585974114761,0.9200957577557431,0.9099851425873984
Albania,220 kV,31,27,12.903225806451612,1.556481651502614,1.6838170930193257,8.180979287085272,2.5039876996804513,2.1275570885795063,-15.033245217178324,0.9713589929180031,0.9708194315975334
Albania,400 kV,3,3,0.0,1.9999999999780511,1.9999999999780511,0.0,1.442695040850937,1.442695040850937,0.0,1.0,1.0
Belgium,All,666,376,43.54354354354354,1.3062179359092523,1.680964683626318,28.68945046725347,3.966685766044789,2.06176695072592,-48.02293218245712,0.9881807447154044,0.9887061175241505
Belgium,150 kV,521,309,40.69097888675624,1.3950869742592267,1.7453351070944518,25.105827758244427,3.424961006608456,1.9203026234390286,-43.93213178971065,0.9881720085859186,0.9878370304842367
Belgium,220 kV,70,30,57.142857142857146,1.087671103893167,1.8773224703198887,72.60019721037682,4.741090357945081,1.6862198375590065,-64.43392320643599,0.9163088210784591,0.971779476175106
Belgium,380 kV,75,40,46.666666666666664,1.4807861948917445,1.8711062105934426,26.358971811608036,3.483733661672927,1.7070870670541958,-50.99834738128535,0.9518129105412134,0.9645680603692742
Bosnia&Herzegovina,All,260,248,4.615384615384615,1.7290873194009728,1.7536148718675246,1.4185259582523086,2.082273577207907,2.0057804823914878,-3.6735372169005704,0.9627019763358079,0.9670866325718511
Bosnia&Herzegovina,110 kV,222,216,2.7027027027027026,1.8267313327300572,1.8401330510646003,0.7336447398925521,1.9006002835459572,1.8586833856859908,-2.205455730110801,0.9444384593452142,0.9443893545950108
Bosnia&Herzegovina,220 kV,28,22,21.428571428571427,1.5382682867701853,1.7341108128701515,12.731363428883109,2.5378697138941804,1.9009730315916926,-25.095720194604283,0.9757627957801289,0.9770312159756515
Bosnia&Herzegovina,400 kV,10,10,0.0,2.127514518523788,2.127514518523788,0.0,1.3522181898465433,1.3522181898465433,0.0,0.9867966238736623,0.9867966238736623
Croatia,All,358,311,13.128491620111731,1.672669402690059,1.7614269635305555,5.306342107875754,2.217935839134227,1.9561154132019771,-11.804688905448764,0.9610002180926245,0.9722152204695658
Croatia,110 kV,330,290,12.121212121212121,1.7103750094887598,1.8017524071712667,5.342535828433331,2.1333656190878716,1.8935650313366168,-11.240482437969654,0.9614774642211191,0.9614691899769239
Croatia,220 kV,23,18,21.73913043478261,1.6575302866262014,1.8975795619783598,14.482346252674727,2.1130271117941195,1.6031194220585594,-24.131620786569556,0.9842617815227287,0.978606890891775
Croatia,400 kV,5,5,0.0,1.4999999876725523,1.4999999876725523,0.0,2.466303488949507,2.466303488949507,0.0,0.9999999999999998,0.9999999999999998
Czechia,All,1019,786,22.865554465161924,1.504566648492085,1.634546008985282,8.63898987947563,2.873026215737693,2.223175969026883,-22.619015557571267,0.968755516805316,0.9791620713969055
Czechia,110 kV,934,728,22.055674518201286,1.534723559589049,1.6694607583627585,8.779248740391267,2.778727255859687,2.1588072164008327,-22.309495764709823,0.9690057327567578,0.9794581733417698
Czechia,220 kV,26,20,23.076923076923077,1.60757598312398,1.7967508106334464,11.76770675199101,2.478428480960345,1.7983903494813755,-27.43827940580586,0.9213504525916517,0.9823247583201042
Czechia,400 kV,59,47,20.338983050847457,1.5998761567279183,1.680887953429164,5.063629229085574,2.4301455005697497,1.993835840435424,-17.954055015719533,0.9805145245493901,0.9909208462789681
Denmark,All,307,279,9.120521172638437,1.5739876037348308,1.6700104886953773,6.100612529139295,2.387706945727335,2.1361312214987365,-10.536289835684363,0.9934136449412829,0.9882322412235506
Denmark,132–165 kV,248,223,10.080645161290322,1.6616317353100694,1.7691820441409525,6.472571902992312,2.2557577005594243,2.0019456710978836,-11.25174168300947,0.9788532384374528,0.9639992581992979
Denmark,232 kV,8,8,0.0,2.646871928081691,2.646871928081691,0.0,1.012859807963125,1.012859807963125,0.0,0.9777593071761762,0.9777593071761762
Denmark,400 kV,51,48,5.882352941176471,1.6509426525384856,1.7258970045220443,4.540094222431595,1.9373189472713577,1.810247300710281,-6.559149526723638,0.9913970333118921,0.9939003004867162
Estonia,All,231,201,12.987012987012987,1.6835191974531256,1.785118154188095,6.034915247100897,2.300060636090381,1.9852601411114132,-13.68661721519057,0.9465375922876973,0.948424853209986
Estonia,110 kV,215,185,13.953488372093023,1.729805330439668,1.8459496290312216,6.714298802746369,2.194768286858523,1.87930171636215,-14.373570658245452,0.9375833435241083,0.9292318244423721
Estonia,330 kV,16,16,0.0,1.6455413373478063,1.6455413373478063,0.0,2.5474699761558615,2.5474699761558615,0.0,0.7889460943868157,0.7889460943868157
