country,graph_type,voltage_group,n_nodes,n_branches_original,n_branches,branches_removed,fraction_removed,mean_degree,C,gamma,r2
Albania,complete,All,133,175,175,0,0.0,2.6315789473684212,1.8156731970088658,1.9016760319379882,0.9531921651064866
Albania,complete,110 kV,122,141,141,0,0.0,2.3114754098360657,1.9427404813090963,1.7261278896762478,0.9200957577557431
Albania,complete,220 kV,21,31,31,0,0.0,2.9523809523809526,1.556481651502614,2.5039876996804513,0.9713589929180031
Albania,complete,400 kV,4,3,3,0,0.0,1.5,1.9999999999780511,1.442695040850937,1.0
Albania,simple,All,133,175,162,13,0.07428571428571429,2.43609022556391,1.8790182233682444,1.7901296206620994,0.9482049162492835
Albania,simple,110 kV,122,141,134,7,0.04964539007092199,2.19672131147541,2.0003098260859487,1.6398631643665045,0.9099851425873984
Albania,simple,220 kV,21,31,27,4,0.12903225806451613,2.5714285714285716,1.6838170930193257,2.1275570885795063,0.9708194315975334
Albania,simple,400 kV,4,3,3,0,0.0,1.5,1.9999999999780511,1.442695040850937,1.0
Belgium,complete,All,281,666,666,0,0.0,4.740213523131673,1.3062179359092523,3.966685766044789,0.9881807447154044
Belgium,complete,150 kV,247,521,521,0,0.0,4.218623481781377,1.3950869742592267,3.424961006608456,0.9881720085859186
Belgium,complete,220 kV,28,70,70,0,0.0,5.0,1.087671103893167,4.741090357945081,0.9163088210784591
Belgium,complete,380 kV,36,75,75,0,0.0,4.166666666666667,1.4807861948917445,3.483733661672927,0.9518129105412134
Belgium,simple,All,281,666,376,290,0.43543543543543545,2.676156583629893,1.680964683626318,2.06176695072592,0.9887061175241505
Belgium,simple,150 kV,247,521,309,212,0.4069097888675624,2.5020242914979756,1.7453351070944518,1.9203026234390286,0.9878370304842367
Belgium,simple,220 kV,28,70,30,40,0.5714285714285714,2.142857142857143,1.8773224703198887,1.6862198375590065,0.971779476175106
Belgium,simple,380 kV,36,75,40,35,0.4666666666666667,2.2222222222222223,1.8711062105934426,1.7070870670541958,0.9645680603692742
Bosnia&Herzegovina,complete,All,188,260,260,0,0.0,2.765957446808511,1.7290873194009728,2.082273577207907,0.9627019763358079
Bosnia&Herzegovina,complete,110 kV,179,222,222,0,0.0,2.4804469273743015,1.8267313327300572,1.9006002835459572,0.9444384593452142
Bosnia&Herzegovina,complete,220 kV,19,28,28,0,0.0,2.9473684210526314,1.5382682867701853,2.5378697138941804,0.9757627957801289
Bosnia&Herzegovina,complete,400 kV,11,10,10,0,0.0,1.8181818181818181,2.127514518523788,1.3522181898465433,0.9867966238736623
Bosnia&Herzegovina,simple,All,188,260,248,12,0.046153846153846156,2.6382978723404253,1.7536148718675246,2.0057804823914878,0.9670866325718511
Bosnia&Herzegovina,simple,110 kV,179,222,216,6,0.02702702702702703,2.4134078212290504,1.8401330510646003,1.8586833856859908,0.9443893545950108
Bosnia&Herzegovina,simple,220 kV,19,28,22,6,0.21428571428571427,2.3157894736842106,1.7341108128701515,1.9009730315916926,0.9770312159756515
Bosnia&Herzegovina,simple,400 kV,11,10,10,0,0.0,1.8181818181818181,2.127514518523788,1.3522181898465433,0.9867966238736623
Croatia,complete,All,241,358,358,0,0.0,2.970954356846473,1.672669402690059,2.217935839134227,0.9610002180926245
Croatia,complete,110 kV,236,330,330,0,0.0,2.7966101694915255,1.7103750094887598,2.1333656190878716,0.9614774642211191
Croatia,complete,220 kV,18,23,23,0,0.0,2.5555555555555554,1.6575302866262014,2.1130271117941195,0.9842617815227287
Croatia,complete,400 kV,6,5,5,0,0.0,1.6666666666666667,1.4999999876725523,2.466303488949507,0.9999999999999998
Croatia,simple,All,241,358,311,47,0.13128491620111732,2.5809128630705396,1.7614269635305555,1.9561154132019771,0.9722152204695658
Croatia,simple,110 kV,236,330,290,40,0.12121212121212122,2.457627118644068,1.8017524071712667,1.8935650313366168,0.9614691899769239
Croatia,simple,220 kV,18,23,18,5,0.21739130434782608,2.0,1.8975795619783598,1.6031194220585594,0.978606890891775
Croatia,simple,400 kV,6,5,5,0,0.0,1.6666666666666667,1.4999999876725523,2.466303488949507,0.9999999999999998
Czechia,complete,All,521,1019,1019,0,0.0,3.9117082533589254,1.504566648492085,2.873026215737693,0.968755516805316
Czechia,complete,110 kV,510,934,934,0,0.0,3.6627450980392156,1.534723559589049,2.778727255859687,0.9690057327567578
Czechia,complete,220 kV,18,26,26,0,0.0,2.888888888888889,1.60757598312398,2.478428480960345,0.9213504525916517
Czechia,complete,400 kV,39,59,59,0,0.0,3.0256410256410255,1.5998761567279183,2.4301455005697497,0.9805145245493901
Czechia,simple,All,521,1019,786,233,0.22865554465161925,3.0172744721689058,1.634546008985282,2.223175969026883,0.9791620713969055
Czechia,simple,110 kV,510,934,728,206,0.22055674518201285,2.854901960784314,1.6694607583627585,2.1588072164008327,0.9794581733417698
Czechia,simple,220 kV,18,26,20,6,0.23076923076923078,2.2222222222222223,1.7967508106334464,1.7983903494813755,0.9823247583201042
Czechia,simple,400 kV,39,59,47,12,0.2033898305084746,2.41025641025641,1.680887953429164,1.993835840435424,0.9909208462789681
Denmark,complete,All,204,307,307,0,0.0,3.0098039215686274,1.5739876037348308,2.387706945727335,0.9934136449412829
Denmark,complete,132–165 kV,175,248,248,0,0.0,2.834285714285714,1.6616317353100694,2.2557577005594243,0.9788532384374528
Denmark,complete,232 kV,10,8,8,0,0.0,1.6,2.646871928081691,1.012859807963125,0.9777593071761762
Denmark,complete,400 kV,42,51,51,0,0.0,2.4285714285714284,1.6509426525384856,1.9373189472713577,0.9913970333118921
Denmark,simple,All,204,307,279,28,0.09120521172638436,2.735294117647059,1.6700104886953773,2.1361312214987365,0.9882322412235506
Denmark,simple,132–165 kV,175,248,223,25,0.10080645161290322,2.5485714285714285,1.7691820441409525,2.0019456710978836,0.9639992581992979
Denmark,simple,232 kV,10,8,8,0,0.0,1.6,2.646871928081691,1.012859807963125,0.9777593071761762
Denmark,simple,400 kV,42,51,48,3,0.058823529411764705,2.2857142857142856,1.7258970045220443,1.810247300710281,0.9939003004867162
Estonia,complete,All,153,231,231,0,0.0,3.019607843137255,1.6835191974531256,2.300060636090381,0.9465375922876973
Estonia,complete,110 kV,151,215,215,0,0.0,2.847682119205298,1.729805330439668,2.194768286858523,0.9375833435241083
Estonia,complete,330 kV,12,16,16,0,0.0,2.6666666666666665,1.6455413373478063,2.5474699761558615,0.7889460943868157
Estonia,simple,All,153,231,201,30,0.12987012987012986,2.627450980392157,1.785118154188095,1.9852601411114132,0.948424853209986
