system,voltage,constituent_voltages,voltage_class,n_nodes,n_edges,mean_degree
Albania,110.0,"(110.0,)",<200 kV,122,141,2.3114754098360657
Belgium,150.0,"(150.0,)",<200 kV,247,521,4.218623481781377
Bosnia&Herzegovina,110.0,"(110.0,)",<200 kV,179,222,2.4804469273743015
Croatia,110.0,"(110.0,)",<200 kV,236,330,2.7966101694915255
Czechia,110.0,"(110.0,)",<200 kV,510,934,3.6627450980392156
Denmark,165.0,"(132.0, 150.0, 165.0)",<200 kV,175,248,2.834285714285714
Estonia,110.0,"(110.0,)",<200 kV,151,215,2.847682119205298
Hungary,120.0,"(120.0,)",<200 kV,381,579,3.0393700787401574
Ireland,110.0,"(110.0,)",<200 kV,288,385,2.673611111111111
Latvia,110.0,"(110.0,)",<200 kV,145,199,2.7448275862068967
Lithuania,110.0,"(110.0,)",<200 kV,260,306,2.353846153846154
Netherlands,150.0,"(110.0, 150.0)",<200 kV,299,573,3.8327759197324416
Portugal,150.0,"(150.0,)",<200 kV,57,100,3.508771929824561
Slovakia,110.0,"(110.0,)",<200 kV,242,412,3.4049586776859506
Slovenia,110.0,"(110.0,)",<200 kV,136,218,3.2058823529411766
Albania,220.0,"(220.0,)",200-299 kV,21,31,2.9523809523809526
Belgium,220.0,"(220.0,)",200-299 kV,28,70,5.0
Bosnia&Herzegovina,220.0,"(220.0,)",200-299 kV,19,28,2.9473684210526314
Croatia,220.0,"(220.0,)",200-299 kV,18,23,2.5555555555555554
Czechia,220.0,"(220.0,)",200-299 kV,18,26,2.888888888888889
Denmark,232.0,"(232.0,)",200-299 kV,10,8,1.6
Hungary,220.0,"(220.0,)",200-299 kV,17,25,2.9411764705882355
Ireland,220.0,"(220.0,)",200-299 kV,45,65,2.888888888888889
Ireland,275.0,"(275.0,)",200-299 kV,13,13,2.0
Netherlands,220.0,"(220.0,)",200-299 kV,14,30,4.285714285714286
Portugal,220.0,"(220.0,)",200-299 kV,67,135,4.029850746268656
Slovakia,220.0,"(220.0,)",200-299 kV,8,8,2.0
Slovenia,220.0,"(220.0,)",200-299 kV,5,4,1.6
Estonia,330.0,"(330.0,)",300-349 kV,12,16,2.6666666666666665
Latvia,330.0,"(330.0,)",300-349 kV,17,21,2.4705882352941178
Lithuania,330.0,"(330.0,)",300-349 kV,20,23,2.3
Albania,400.0,"(400.0,)",>=350 kV,4,3,1.5
Belgium,380.0,"(380.0,)",>=350 kV,36,75,4.166666666666667
Bosnia&Herzegovina,400.0,"(400.0,)",>=350 kV,11,10,1.8181818181818181
Croatia,400.0,"(400.0,)",>=350 kV,6,5,1.6666666666666667
Czechia,400.0,"(400.0,)",>=350 kV,39,59,3.0256410256410255
Denmark,400.0,"(400.0,)",>=350 kV,42,51,2.4285714285714284
Hungary,400.0,"(400.0,)",>=350 kV,25,36,2.88
Ireland,400.0,"(400.0,)",>=350 kV,5,4,1.6
Netherlands,400.0,"(400.0,)",>=350 kV,34,66,3.8823529411764706
Portugal,400.0,"(400.0,)",>=350 kV,50,79,3.16
Slovakia,400.0,"(400.0,)",>=350 kV,25,37,2.96
Slovenia,400.0,"(400.0,)",>=350 kV,8,11,2.75
