source,system,graph_type,voltage,voltage_label,voltage_class,constituent_voltages,n_nodes,n_edges,max_degree,n_fit_points,A,gamma,r2,rmse
Europe,Albania,complete,110.0,<200 kV,<200 kV,"(110.0,)",122,141,8,7,0.8572031770726173,0.8708294969575326,0.9971784472370799,0.01519601560224392
Europe,Albania,complete,220.0,220 kV,200-299 kV,"(220.0,)",21,31,7,6,0.7837458785140484,2.0575991820164394,0.9714125550991282,0.04142510095429459
Europe,Albania,complete,400.0,400 kV,>=350 kV,"(400.0,)",4,3,2,1,,,,
Europe,Belgium,complete,150.0,<200 kV,<200 kV,"(150.0,)",247,521,27,26,0.8331902580782089,3.0996814241627315,0.9857116970650376,0.024328591465008546
Europe,Belgium,complete,220.0,220 kV,200-299 kV,"(220.0,)",28,70,19,18,0.5942518566278773,6.289510543968241,0.8954527184022981,0.05114671909509873
Europe,Belgium,complete,380.0,380 kV,>=350 kV,"(380.0,)",36,75,13,12,0.963020557856023,2.9066553619653157,0.9648803446614725,0.05584429827292416
Europe,Bosnia&Herzegovina,complete,110.0,<200 kV,<200 kV,"(110.0,)",179,222,8,7,0.8340631721475953,1.1597523453606073,0.9942915232967247,0.02091735808515868
Europe,Bosnia&Herzegovina,complete,220.0,220 kV,200-299 kV,"(220.0,)",19,28,7,6,0.7669644403367271,2.1698716464908467,0.9704447478073287,0.04160109976785045
Europe,Bosnia&Herzegovina,complete,400.0,400 kV,>=350 kV,"(400.0,)",11,10,4,3,0.5428457448334746,0.9828651166213709,0.994697516168791,0.014300472322328017
Europe,Croatia,complete,110.0,<200 kV,<200 kV,"(110.0,)",236,330,13,12,0.8317528932809971,1.4366271227413554,0.9793613333621726,0.03382852695042847
Europe,Croatia,complete,220.0,220 kV,200-299 kV,"(220.0,)",18,23,6,5,0.7161086568999571,1.7247520101121585,0.9921662800655944,0.020297675753510908
Europe,Croatia,complete,400.0,400 kV,>=350 kV,"(400.0,)",6,5,2,1,,,,
Europe,Czechia,complete,110.0,<200 kV,<200 kV,"(110.0,)",510,934,23,22,0.8739292250999543,2.145967023784185,0.9711659740422617,0.03557089534767498
Europe,Czechia,complete,220.0,220 kV,200-299 kV,"(220.0,)",18,26,6,5,0.8626361319030293,1.7815149220980275,0.9405538207262395,0.06980772803603273
Europe,Czechia,complete,400.0,400 kV,>=350 kV,"(400.0,)",39,59,10,9,0.8117730678096575,1.9361130157900492,0.9966237464983085,0.01461097293178531
Europe,Denmark,complete,165.0,<200 kV,<200 kV,"(132.0, 150.0, 165.0)",175,248,12,11,0.8108839047022564,1.7351362046760426,0.9981224109830132,0.010584773838355144
Europe,Denmark,complete,232.0,232 kV,200-299 kV,"(232.0,)",10,8,4,3,0.30455952735863795,2.005681380079529,0.9800530272873964,0.011531687564447104
Europe,Denmark,complete,400.0,400 kV,>=350 kV,"(400.0,)",42,51,7,6,0.5539775186652566,2.1771134298231014,0.9776578243411018,0.025332299105248455
Europe,Estonia,complete,110.0,<200 kV,<200 kV,"(110.0,)",151,215,9,8,0.9070957244265787,1.3844539328323329,0.9874777960473955,0.032099074890024115
Europe,Estonia,complete,330.0,330 kV,300-349 kV,"(330.0,)",12,16,4,3,0.9999999999999134,1.2852902598788822,0.9897170405395481,0.03472788662673234
Europe,Hungary,complete,120.0,<200 kV,<200 kV,"(120.0,)",381,579,13,12,0.8959150425052165,1.4956782884367894,0.9649824953651909,0.04736564699114
Europe,Hungary,complete,220.0,220 kV,200-299 kV,"(220.0,)",17,25,9,8,0.6192872992780105,2.679026682261654,0.9633178262062377,0.03492417707884781
Europe,Hungary,complete,400.0,400 kV,>=350 kV,"(400.0,)",25,36,6,5,0.8742693049174547,1.6937771301266689,0.9939317887366558,0.0219093537963944
Europe,Ireland,complete,110.0,<200 kV,<200 kV,"(110.0,)",288,385,11,10,0.7479478879297622,1.7316381172607005,0.9987553488744734,0.008177884153845945
Europe,Ireland,complete,220.0,220 kV,200-299 kV,"(220.0,)",45,65,8,7,0.9210308555064708,1.5047562347398316,0.9931552203801711,0.02517833089681652
Europe,Ireland,complete,275.0,275 kV,200-299 kV,"(275.0,)",13,13,3,2,0.8461538161458882,0.5865969419731888,0.9999999999999962,2.122642437827474e-08
Europe,Ireland,complete,400.0,400 kV,>=350 kV,"(400.0,)",5,4,2,1,,,,
Europe,Latvia,complete,110.0,<200 kV,<200 kV,"(110.0,)",145,199,8,7,0.9062099779323489,1.2474313541918831,0.9853524635547948,0.035491815116349565
Europe,Latvia,complete,330.0,330 kV,300-349 kV,"(330.0,)",17,21,5,4,0.9416549116601545,1.0070709871964831,0.9994433586057648,0.008232524546821145
Europe,Lithuania,complete,110.0,<200 kV,<200 kV,"(110.0,)",260,306,8,7,0.8638100530504775,0.9506930907988713,0.9989908380600868,0.00921174515416341
Europe,Lithuania,complete,330.0,330 kV,300-349 kV,"(330.0,)",20,23,5,4,0.8968564315349778,0.829577101584143,0.9969523606680178,0.01877187517965209
Europe,Netherlands,complete,150.0,<200 kV,<200 kV,"(110.0, 150.0)",299,573,13,12,0.9341920712888776,2.561999920265477,0.9931326556520549,0.023294092416428172
Europe,Netherlands,complete,220.0,220 kV,200-299 kV,"(220.0,)",14,30,9,8,0.9999999999999999,3.0006323064167657,0.9346616060842329,0.0874438423417237
Europe,Netherlands,complete,400.0,400 kV,>=350 kV,"(400.0,)",34,66,8,7,0.9753875931694569,2.8232958651910383,0.8662177855461579,0.12198108945623717
Europe,Portugal,complete,150.0,<200 kV,<200 kV,"(150.0,)",57,100,12,11,0.6971157970964631,3.181896499468369,0.9955741137343894,0.013755950475188518
Europe,Portugal,complete,220.0,220 kV,200-299 kV,"(220.0,)",67,135,12,11,0.8791640067768935,3.0755105956343045,0.9921863864111475,0.023643397037082504
Europe,Portugal,complete,400.0,400 kV,>=350 kV,"(400.0,)",50,79,7,6,0.8415126452009313,2.2324903670608465,0.9698996592963922,0.04625073923016141
Europe,Slovakia,complete,110.0,<200 kV,<200 kV,"(110.0,)",242,412,20,19,0.8043595935269601,2.0986012500175595,0.9521026752732369,0.044520640341672364
Europe,Slovakia,complete,220.0,220 kV,200-299 kV,"(220.0,)",8,8,4,3,0.6224229657333233,1.156892058683887,0.9972892715562481,0.011061612451648615
Europe,Slovakia,complete,400.0,400 kV,>=350 kV,"(400.0,)",25,37,8,7,0.8775678421010085,1.6894952758972237,0.9957375264136316,0.018518813306020565
Europe,Slovenia,complete,110.0,<200 kV,<200 kV,"(110.0,)",136,218,16,15,0.8779755367551088,1.6098161657950711,0.9665632585521247,0.04184660626643435
Europe,Slovenia,complete,220.0,220 kV,200-299 kV,"(220.0,)",5,4,2,1,,,,
Europe,Slovenia,complete,400.0,400 kV,>=350 kV,"(400.0,)",8,11,6,5,0.7635874616678048,1.9413420143926088,0.9836209141873314,0.03102049792466716
N490,N490,complete,132.0,<200 kV,<200 kV,"(132.0,)",76,94,6,5,0.794183511074015,1.3593427150696382,0.9981832653471929,0.011820639918181958
N490,N490,complete,220.0,220 kV,200-299 kV,"(220.0,)",138,145,7,6,0.6346720498563694,1.2859682476687873,0.9454819524115832,0.05443871355658155
N490,N490,complete,300.0,300 kV,300-349 kV,"(300.0,)",100,119,7,6,0.8125015033196182,1.135109998010839,0.998738594310601,0.010047611756444065
N490,N490,complete,380.0,380 kV,>=350 kV,"(380.0,)",178,237,7,6,0.8548552724626073,1.4900484426778844,0.9910279236090958,0.02822631777217741
Europe,Albania,simple,110.0,<200 kV,<200 kV,"(110.0,)",122,134,7,6,0.8439435318386874,0.7898908273089337,0.9988156101710607,0.01028328420998908
Europe,Albania,simple,220.0,220 kV,200-299 kV,"(220.0,)",21,27,6,5,0.7692038469680317,1.6123997563385188,0.995877644990634,0.016701397383352346
Europe,Albania,simple,400.0,400 kV,>=350 kV,"(400.0,)",4,3,2,1,,,,
Europe,Belgium,simple,150.0,<200 kV,<200 kV,"(150.0,)",247,309,11,10,0.7032067894246775,1.507682083409502,0.9961734887186539,0.01311143870355696
Europe,Belgium,simple,220.0,220 kV,200-299 kV,"(220.0,)",28,30,5,4,0.6781185011351619,1.18266961627108,0.9971721810659726,0.012950729848645282
Europe,Belgium,simple,380.0,380 kV,>=350 kV,"(380.0,)",36,40,7,6,0.6845312479127714,1.2620557819991693,0.9604379118033333,0.04834209404027557
Europe,Bosnia&Herzegovina,simple,110.0,<200 kV,<200 kV,"(110.0,)",179,216,7,6,0.8149980649431368,1.1411531746400914,0.9970013217711612,0.01535762788248479
Europe,Bosnia&Herzegovina,simple,220.0,220 kV,200-299 kV,"(220.0,)",19,22,5,4,0.6717553358867386,1.511193433555713,0.9683654351526809,0.03824044793696915
Europe,Bosnia&Herzegovina,simple,400.0,400 kV,>=350 kV,"(400.0,)",11,10,4,3,0.5428457448334746,0.9828651166213709,0.994697516168791,0.014300472322328017
Europe,Croatia,simple,110.0,<200 kV,<200 kV,"(110.0,)",236,290,8,7,0.7810656375547879,1.257354114936375,0.9925442627928346,0.02228232553947275
