system,graph_type,voltage,voltage_class,P(k=1),P(k=2),P(k=3),P(k=4),P(k=5),P(k=6),P(k=7),P(k=8),P(k=9),P(k=10),P(k=11),P(k=12),P(k=13),P(k=14),P(k=15),P(k=16),P(k=17),P(k=18),P(k=19),P(k=20),P(k=21),P(k=22),P(k=23),P(k=24),P(k=25),P(k=26),P(k=27),P(k=28),P(k=29),P(k=30),P(k=31),P(k=32),P(k=33),P(k=34),P(k=35),P(k=36),P(k=37),P(k=38),P(k=39),P(k=40),P(k=41),P(k=42),P(k=43),P(k=44),P(k=45),P(k=46),P(k=47),P(k=48),P(k=49),P(k=50),P(k=51),P(k=52),P(k=53),P(k=54),P(k=55),P(k=56),P(k=57),P(k=58),P(k=59),P(k=60),P(k=61),P(k=62),P(k=63),P(k=64),P(k=65),P(k=66),P(k=67),P(k=68),P(k=69),P(k=70),P(k=71),P(k=72),P(k=73),P(k=74),P(k=75),P(k=76),P(k=77),P(k=78),P(k=79),P(k=80),P(k=81),P(k=82),P(k=83),P(k=84),P(k=85)
Albania,complete,110.0,<200 kV,0.14279682292738272,0.5853275924396036,0.18564593045467734,0.05888055157409834,0.018674900899680387,0.00592304104308526,0.0018785864185588803,0.0005958234809319515,0.00018897486797663686,5.993637691305744e-05,1.9009772653516072e-05,6.029250931576451e-06,1.9122725694034903e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,complete,220.0,200-299 kV,0.21625412148595158,0.30167963965272393,0.18555704497503334,0.11413238553155924,0.07020052204903966,0.043178921328994826,0.02655848122942881,0.0163355846673334,0.010047687746840232,0.006180129521772614,0.0038012726776761718,0.002338085944500213,0.0014381093774128752,0.0008845519927390586,0.0005440700409493311,0.00033464647854332483,0.00020583428083274558,0.00012660450320695201,7.787186938653596e-05,4.789741192571365e-05,2.946072936548969e-05,1.812069879877322e-05,1.1145675345719793e-05,6.855479487391301e-06,4.216666782788635e-06,2.593586457340411e-06,1.5952625754437674e-06,9.812137464741035e-07,6.035247307183402e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,simple,110.0,<200 kV,0.15605646816131258,0.6059870399514776,0.17086279438839325,0.04817610374728139,0.013583629956285447,0.0038300109065940776,0.0010799015868245077,0.00030448671444206104,8.585241507454844e-05,2.4206761164074002e-05,6.825285992778485e-06,1.924442868150231e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,simple,220.0,200-299 kV,0.23079615303196832,0.3554950154547317,0.19119954747014137,0.10283482289062366,0.0553087124884403,0.02974725478335869,0.015999272579903287,0.008605053641092437,0.004628144673220254,0.002489202741743473,0.0013387935613499273,0.000720057137112352,0.00038727575010417666,0.00020829250748104298,0.00011202810571296981,6.025323052380337e-05,3.24066158706304e-05,1.7429584157677815e-05,9.37433285605411e-06,5.041894040678222e-06,2.711733827651465e-06,1.4584797484240936e-06,7.844291924497098e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,complete,150.0,<200 kV,0.1668097419217911,0.22974929101869002,0.16639672992977245,0.12051341533441007,0.08728226379024179,0.0632144857168788,0.04578331302282565,0.0331587250544752,0.024015322934146682,0.017393181875474846,0.0125970729847317,0.009123474296926191,0.006607708262670337,0.004785655887612015,0.0034660280636209795,0.002510282983134141,0.001818081256050083,0.0013167517271195249,0.0009536620572389303,0.0006906930901899862,0.0005002368933680556,0.00036229832474173604,0.0002623958325562593,0.00019004110215517457,0.00013763793485786383,9.968475712411417e-05,7.219703501912811e-05,5.228895586376764e-05,3.7870459702377606e-05,2.742781328060857e-05,1.9864689979158225e-05,1.4387071398325894e-05,1.0419886926888659e-05,7.54663965744822e-06,5.465680243842677e-06,3.9585380889954666e-06,2.8669850966274007e-06,2.076424012979363e-06,1.5038573750345727e-06,1.0891739790664538e-06,7.888380749192991e-07,5.713187428290707e-07,4.137796035532156e-07,2.996813293203664e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,complete,220.0,200-299 kV,0.4057481433721227,0.08735459338586882,0.07451353129998461,0.06356009605892093,0.054216807880907436,0.04624697631152591,0.03944870422207239,0.033649773215826545,0.028703280875902903,0.02448391933451352,0.020884800889860236,0.017814750255048376,0.015195994844453067,0.012962194586320724,0.0110567613514935,0.009431425424896424,0.008045012704680235,0.00686240165220596,0.0058536335696278835,0.0049931536660288225,0.004259163686284855,0.003633069703019017,0.003099011082738627,0.0026434586936100284,0.0022548721763999604,0.0019234075963408138,0.0016406680699604017,0.0013994910495875208,0.0011937668768813364,0.0010182840088609757,0.000868596995596686,0.000740913865085159,0.0006320000624666228,0.0005390965101076985,0.0004598497127927901,0.0003922521374018248,0.00033459135673230794,0.00028540666914271496,0.00024345209507701084,0.00020766481307326603,0.00017713823565623115,0.00015109904305421397,0.00012888759294298491,0.00010994120994317917,9.377993154947764e-05,7.999434939792043e-05,6.823523785811665e-05,5.8204707214918043e-05,4.964865732597876e-05,4.2350340586211224e-05,3.6124871131804314e-05,3.0814541187287604e-05,2.6284825906190234e-05,2.242097549723596e-05,1.9125108305520914e-05,1.6313731208662024e-05,1.3915624512915494e-05,1.1870037768039259e-05,1.0125150796064202e-05,8.636760947726356e-06,7.36716333125313e-06,6.284195646708066e-06,5.360423428998044e-06,4.572445059568294e-06,3.900298940876556e-06,3.326957815790323e-06,2.8378974216680585e-06,2.420728551978114e-06,2.0648832045936456e-06,1.7613468660617834e-06,1.5024301498912839e-06,1.281574003847135e-06,1.093183551631735e-06,9.324863597191887e-07,7.954115388623119e-07,6.784866175906644e-07,5.787495752300186e-07,4.936738060042374e-07,4.211041133600018e-07,3.592021130794786e-07,3.06399662096051e-07,2.613591332404094e-07,2.2293952957025069e-07,1.9016757986906292e-07,1.6221308308565582e-07
Belgium,complete,380.0,>=350 kV,0.03697944214397697,0.280333392784648,0.198728892788189,0.14087930244955932,0.09986961422780072,0.07079776569436683,0.05018867516481487,0.03557885040713546,0.025221916939157617,0.017879866460164914,0.01267507245402923,0.00898538375959487,0.006369756196661885,0.004515532679568257,0.0032010699861533907,0.0022692448008662745,0.0016086720966843257,0.0011403908091638416,0.0008084252846219213,0.0005730942722128986,0.0004062676552686439,0.0002880039388286977,0.00020416655794563965,0.0001447340739605761,0.00010260226932367223,7.273495025943115e-05,5.156194910809167e-05,3.655236700296952e-05,2.5912044766168384e-05,1.836909943231221e-05,1.3021890668957258e-05,9.231243873392956e-06,6.544046914262579e-06,4.63908771162486e-06,3.2886583910705103e-06,2.3313363931570274e-06,1.6526889484222658e-06,1.171594441820697e-06,8.305456011039132e-07,5.887754080166803e-07,4.173840432415186e-07,2.958843680979651e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,simple,150.0,<200 kV,0.2967932105753225,0.3409399023357922,0.17563999517784185,0.09048341861636568,0.04661380818312244,0.02401376016246065,0.012371026947096228,0.0063731088630185955,0.0032831968399696927,0.001691385118577962,0.00087134087865819,0.00044888353248558575,0.00023124867737989022,0.00011913101488450291,6.137202109959319e-05,3.161666151757843e-05,1.6287768719478343e-05,8.390873581377981e-06,4.32267676876256e-06,2.226887852138394e-06,1.1472126581005413e-06,5.91002767221666e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,simple,220.0,200-299 kV,0.3218814988648381,0.38698632575021497,0.1661423050267606,0.0713287878223946,0.030623121374129855,0.013147224161858814,0.005644411653874907,0.0024232782925254753,0.0010403702003190778,0.0004466553251644657,0.0001917596057985791,8.23268958060366e-05,3.534486705285155e-05,1.5174380313415818e-05,6.514717329446106e-06,2.796920928959612e-06,1.2007837465938685e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,simple,380.0,>=350 kV,0.3154687520872286,0.37459200406428406,0.1696062273933888,0.07679361027065945,0.03477029510669845,0.01574315125367677,0.007128119293655278,0.003227440545152226,0.001461307259793491,0.0006616446926443506,0.0002995767634565118,0.00013564113519054462,6.141503547704371e-05,2.7807247243603554e-05,1.2590451072130873e-05,5.700652668386105e-06,2.581118075865549e-06,1.1686680296286053e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
