network,voltage_levels,degree,n_nodes_degree_or_higher,cumulative_probability
220 kV,220,1,138,1.0
220 kV,220,2,84,0.6086956521739131
220 kV,220,3,54,0.391304347826087
220 kV,220,4,9,0.06521739130434782
220 kV,220,5,2,0.014492753623188406
220 kV,220,6,2,0.014492753623188406
220 kV,220,7,1,0.007246376811594203
300 kV,300,1,100,1.0
300 kV,300,2,81,0.81
300 kV,300,3,35,0.35
300 kV,300,4,12,0.12
300 kV,300,5,6,0.06
300 kV,300,6,3,0.03
300 kV,300,7,1,0.01
380 kV,380,1,178,1.0
380 kV,380,2,150,0.8426966292134831
380 kV,380,3,82,0.4606741573033708
380 kV,380,4,45,0.25280898876404495
380 kV,380,5,15,0.08426966292134831
380 kV,380,6,3,0.016853932584269662
380 kV,380,7,1,0.0056179775280898875
Aggregated HV lines,"220,300,380",1,416,1.0
Aggregated HV lines,"220,300,380",2,315,0.7572115384615384
Aggregated HV lines,"220,300,380",3,171,0.4110576923076923
Aggregated HV lines,"220,300,380",4,66,0.15865384615384615
Aggregated HV lines,"220,300,380",5,23,0.055288461538461536
Aggregated HV lines,"220,300,380",6,8,0.019230769230769232
Aggregated HV lines,"220,300,380",7,3,0.007211538461538462
