network,voltage_levels,n_nodes,mean_degree,std_degree,max_degree,AIC_rank,model,AIC,delta_AIC,BIC,R2,RMSE,NLL,shape,scale,n,p,sigma,mu
220 kV,220,138,2.101449275362319,1.0986807310935631,7,1,Weibull,387.24763583493547,0.0,393.1021432052499,0.7625325889408321,0.07515744770469725,191.62381791746773,1.7405167986230656,2.18607873411874,,,,
220 kV,220,138,2.101449275362319,1.0986807310935631,7,2,Negative binomial,388.2029868505347,0.9553510155992626,394.05749422084915,0.7332253634646334,0.07966036335823183,192.10149342526736,,,10.519018760819822,0.9052147217171702,,
220 kV,220,138,2.101449275362319,1.0986807310935631,7,3,Gamma,389.53264816964895,2.2850123347134854,395.3871555399634,0.7230210102712071,0.08116960415763064,192.76632408482448,3.05742871100089,0.6607328057993236,,,,
220 kV,220,138,2.101449275362319,1.0986807310935631,7,4,Lognormal,395.2158175453023,7.968181710366821,401.0703249156167,0.6540587469840127,0.09071334710508643,195.60790877265114,,1.821965150349635,,,0.5357742576273907,0.5999156715141353
300 kV,300,100,2.38,1.1643023662262308,7,1,Lognormal,289.00611585382006,0.0,294.21645622579626,0.9877247247000244,0.016893419574891044,142.50305792691003,,2.159896490456044,,,0.4364453216107112,0.770060299462657
300 kV,300,100,2.38,1.1643023662262308,7,2,Gamma,292.3354451799819,3.329329326161826,297.5457855519581,0.9499428701704553,0.0341141787213617,144.16772258999094,4.764968070669941,0.4962721727173939,,,,
300 kV,300,100,2.38,1.1643023662262308,7,3,Negative binomial,295.8677415711367,6.861625717316656,301.0780819431129,0.8811242449773153,0.052571284961341565,145.93387078556836,,,22026.465794806718,0.9999373520342841,,
300 kV,300,100,2.38,1.1643023662262308,7,4,Weibull,298.53184284658937,9.525726992769307,303.7421832185656,0.852628119011867,0.0585341426306365,147.26592142329469,2.0040756574836602,2.5856403261496452,,,,
380 kV,380,178,2.662921348314607,1.2356485830446309,7,1,Gamma,561.2159631939113,0.0,567.5795302944955,0.9358393846124075,0.030896081821287186,278.60798159695565,4.704001072828709,0.5639128055900743,,,,
380 kV,380,178,2.662921348314607,1.2356485830446309,7,2,Negative binomial,562.3052785659514,1.0893153720401187,568.6688456665356,0.9125121003615483,0.03607805708167869,279.1526392829757,,,12164.148047792889,0.9998633143946627,,
380 kV,380,178,2.662921348314607,1.2356485830446309,7,3,Weibull,562.5622715894492,1.3463083955379034,568.9258386900334,0.8939721991302054,0.03971723651139504,279.2811357947246,2.2130067462214438,2.948305304665502,,,,
380 kV,380,178,2.662921348314607,1.2356485830446309,7,4,Lognormal,563.9621169937661,2.7461537998548238,570.3256840943503,0.9474341934079894,0.027965385639792683,279.98105849688307,,2.4086296847237927,,,0.45746534063680566,0.8790579902405182
Aggregated HV,"220,300,380",416,2.4086538461538463,1.1994879177352726,7,1,Gamma,1256.420304011603,0.0,1264.4816745321257,0.994929802129179,0.008998806976349855,626.2101520058015,3.9911999736182757,0.5967250110627994,,,,
Aggregated HV,"220,300,380",416,2.4086538461538463,1.1994879177352726,7,2,Negative binomial,1256.687778460998,0.26747444939496745,1264.7491489815206,0.9968450826611727,0.007098498166698717,626.343889230499,,,65.88615203247412,0.9790672651058734,,
Aggregated HV,"220,300,380",416,2.4086538461538463,1.1994879177352726,7,3,Weibull,1258.9489195993729,2.528615587769764,1267.0102901198954,0.990726437295369,0.012170146005228527,627.4744597996864,1.9668269510130958,2.613408808063868,,,,
Aggregated HV,"220,300,380",416,2.4086538461538463,1.1994879177352726,7,4,Lognormal,1262.860388471281,6.440084459678019,1270.9217589918037,0.9672024715494353,0.022887219819216334,629.4301942356406,,2.1512236563023737,,,0.4836366385735771,0.7660368227056449
