network,voltage_levels,degree,n_nodes,probability
220 kV,220,1,54,0.391304347826087
220 kV,220,2,30,0.21739130434782608
220 kV,220,3,45,0.32608695652173914
220 kV,220,4,7,0.050724637681159424
220 kV,220,6,1,0.007246376811594203
220 kV,220,7,1,0.007246376811594203
300 kV,300,1,19,0.19
300 kV,300,2,46,0.46
300 kV,300,3,23,0.23
300 kV,300,4,6,0.06
300 kV,300,5,3,0.03
300 kV,300,6,2,0.02
300 kV,300,7,1,0.01
380 kV,380,1,28,0.15730337078651685
380 kV,380,2,68,0.38202247191011235
380 kV,380,3,37,0.20786516853932585
380 kV,380,4,30,0.16853932584269662
380 kV,380,5,12,0.06741573033707865
380 kV,380,6,2,0.011235955056179775
380 kV,380,7,1,0.0056179775280898875
Aggregated HV,"220,300,380",1,101,0.24278846153846154
Aggregated HV,"220,300,380",2,144,0.34615384615384615
Aggregated HV,"220,300,380",3,105,0.25240384615384615
Aggregated HV,"220,300,380",4,43,0.10336538461538461
Aggregated HV,"220,300,380",5,15,0.036057692307692304
Aggregated HV,"220,300,380",6,5,0.01201923076923077
Aggregated HV,"220,300,380",7,3,0.007211538461538462
