Vbase,degree,n_nodes_degree,n_nodes_total,probability
220,1,54,138,0.391304347826087
220,2,30,138,0.21739130434782608
220,3,45,138,0.32608695652173914
220,4,7,138,0.050724637681159424
220,5,0,138,0.0
220,6,1,138,0.007246376811594203
220,7,1,138,0.007246376811594203
300,1,19,100,0.19
300,2,46,100,0.46
300,3,23,100,0.23
300,4,6,100,0.06
300,5,3,100,0.03
300,6,2,100,0.02
300,7,1,100,0.01
380,1,28,178,0.15730337078651685
380,2,68,178,0.38202247191011235
380,3,37,178,0.20786516853932585
380,4,30,178,0.16853932584269662
380,5,12,178,0.06741573033707865
380,6,2,178,0.011235955056179775
380,7,1,178,0.0056179775280898875
