Vbase,category,proportion
220,MST,0.6344827586206897
220,Delaunay1,0.2413793103448276
220,Delaunay2,0.08275862068965517
220,Delaunay3,0.041379310344827586
220,Delaunay4,0.0
220,Delaunay5,0.0
220,None,0.0
300,MST,0.6386554621848739
300,Delaunay1,0.24369747899159663
300,Delaunay2,0.10084033613445378
300,Delaunay3,0.01680672268907563
300,Delaunay4,0.0
300,Delaunay5,0.0
300,None,0.0
380,MST,0.5569620253164557
380,Delaunay1,0.24472573839662448
380,Delaunay2,0.1518987341772152
380,Delaunay3,0.02109704641350211
380,Delaunay4,0.012658227848101266
380,Delaunay5,0.004219409282700422
380,None,0.008438818565400843
