voltage_kv,degree,n_nodes_degree_or_higher,cumulative_probability,used_in_fit,fitted_cumulative_probability
132,1,76,1.0,False,
132,2,59,0.7763157894736842,True,0.7817463047635772
132,3,28,0.3684210526315789,True,0.34804437711036273
132,4,11,0.14473684210526316,True,0.15495421941876025
132,5,4,0.05263157894736842,True,0.06898778344022381
132,6,2,0.02631578947368421,True,0.030714325055797825
220,1,138,1.0,False,
220,2,83,0.6014492753623188,True,0.6244135028697477
220,3,51,0.3695652173913043,True,0.27663311665999185
220,4,7,0.050724637681159424,True,0.12255641635120747
220,5,2,0.014492753623188406,True,0.05429601260398476
220,6,1,0.007246376811594203,True,0.024054693115731184
300,1,100,1.0,False,
300,2,80,0.8,True,0.8047788138520382
300,3,35,0.35,True,0.32950850966817774
300,4,12,0.12,True,0.13491391184125495
300,5,4,0.04,True,0.05523913062712547
300,6,2,0.02,True,0.022617100866743723
300,7,1,0.01,True,0.009260342185133306
380,1,178,1.0,False,
380,2,150,0.8426966292134831,True,0.8545826870888046
380,3,80,0.449438202247191,True,0.4224767421409534
380,4,42,0.23595505617977527,True,0.2088581951713305
380,5,10,0.056179775280898875,True,0.10325241921997162
380,6,2,0.011235955056179775,True,0.051044499671326245
